"groups","est_dG"
"H : -1 | -NH- : -1 | ring -NH- : -1 | -NH3 : 1 | ring -N< : 1",8.70
"H : -1 | -CH=O : -1 | >CH- : -1 | -NH- : -1 | amide : -1 | ring -N< : -1 | CCNC : 1 | H2O : 1 | dbl sgl ring =N< : 1 | two fused rings -N< : 1 | two fused rings >CH- : 1 | ring =CH- : 1",-3.18
"dbl sgl ring =N< : -1 | ring -NH- : -1 | ring =N- : 1 | amide : -1 | CCNC : -1 | ring -N< : 1 | H : 1 | OCNC : 1 | CCCN : 1 | CCCC : 1",1.25
"H2 : -1 | dbl sgl ring =N< : -1 | ring =CH- : -1 | CCNC : -1 | H : 1 | ring -N< : 1 | ring -CH2- : 1",-10.42
">CH- : 1 | ring -NH- : -1 | ring =N- : 1 | two fused rings -N< : -1 | two fused rings >CH- : -1 | ring -CH2- : -2 | -CH3 : 1 | amide : -1 | -NH- : 1 | ring =CH- : 1 | OCNC : 1 | CCCN : 1 | CCCC : 1",1.21
"-SH : -1 | ring -NH- : 1 | ring -N< : -1 | -S- : 1",-6.41
"methanol : -1 | -SH : -1 | H2O : 1 | -S- : 1 | -CH3 : 1",-8.92
"methanol : -1 | ring -NH- : -1 | -CH3 : 1 | H2O : 1 | ring -N< : 1",-2.52
"ring -NH- : 1 | ring =N- : -1 | -CH3 : -1 | >CH- : -1 | -NH- : -1 | amide : 1 | ring =CH- : -1 | OCNC : -1 | CCCN : -1 | CCCC : -1 | ring -CH2- : 2 | two fused rings -N< : 1 | two fused rings >CH- : 1",-1.21
"H : -1 | ring -N< : -1 | ring =N- : -1 | amide : 1 | ring -NH- : 1 | OCNC : -1 | CCCN : -1 | CCCC : -1 | CCNC : 1 | dbl sgl ring =N< : 1",-1.25
"H2O : -1 | dbl sgl ring =N< : -1 | >CH- : 1 | two fused rings -N< : -1 | two fused rings >CH- : -1 | ring =CH- : -1 | amide : 1 | -NH- : 1 | CCNC : -1 | H : 1 | -CH=O : 1 | ring -N< : 1",3.18
"-NH3 : -1 | -NH- : 1 | ring -NH- : 1 | ring -N< : -1 | H : 1",-8.70
"methylamine : -1 | -SH : -1 | NH4 : 1 | -S- : 1 | -CH3 : 1",-3.56
"-CH3 : -1 | -NH2- : -1 | Origin : -1 | -SH : -1 | methylamine : 1 | -S- : 1",-2.34
"-NH< : -1 | -SH : -1 | -NH2- : 1 | -S- : 1",-0.04
,0.00
"ring -N< : 1 | ring -CH< : -1 | ring =CH- : -1 | -OH : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | ring -CH2- : 1 | NADH : 1 | H : 1 | ring >C=O : 1",2.30
"ring -CH< : -1 | ring -N< : 1 | ring =C< : 1 | dbl sgl ring =N< : -1 | OCCC : 2 | heteroaromatic : -1 | H : 1",4.78
"two fused rings -N< : -1 | ring -N< : 1 | CCNC : 1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | two fused rings =N< : 1",1.92
"ethanol : -1 | ring -N< : 1 | ring =CH- : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | H : 1 | acetaldehyde : 1 | ring -CH2- : 1",5.78
">CH- : -1 | -NH3 : -1 | H2O : -1 | ring -N< : 1 | ring =CH- : -1 | dbl sgl ring =N< : -1 | >C=O : 1 | heteroaromatic : -1 | NH4 : 1 | OCCO : 1 | H : 1 | ring -CH2- : 1",8.69
"ethanol : -1 | ring -N< : 1 | ring =CH- : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | H : 1 | acetaldehyde : 1 | ring -CH2- : 1",5.78
">CH- : -1 | -NH3 : -1 | H2O : -1 | ring -N< : 1 | ring =CH- : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | NH4 : 1 | >C=O : 1 | OCCO : 1 | H : 1 | ring -CH2- : 1",8.69
"ring -CH2- : 1 | ring >C=O : 1 | ring -CH< : -1 | -OH : -1 | ring -N< : 1 | ring =CH- : -1 | dbl sgl ring =N< : -1 | heteroaromatic : -1 | H : 1",2.30
"ring -N< : 1 | two fused rings >C= : 2 | ring -CH< : 8 | ring =CH- : 6 | ring =N- : 3 | ring -O- : 2 | ring =C< : 2 | -OH : 4 | -NH2 : 2 | -CH2- : 2 | -OPO3- : 1 | -OPO2- : 1 | dbl sgl ring =N< : 1 | >C=O : 1 | amide : 1 | Origin : 1 | OCCC : 1 | heteroaromatic : 3",-529.59
"ring -N< : 2 | two fused rings >C= : 2 | ring -CH< : 8 | ring =CH- : 5 | ring =N- : 3 | ring -O- : 2 | ring =C< : 2 | -OH : 4 | -NH2 : 2 | -CH2- : 2 | -OPO3- : 1 | -OPO2- : 1 | ring -CH2- : 1 | >C=O : 1 | amide : 1 | Origin : 1 | OCCC : 1 | heteroaromatic : 2 | NADH : 1",-524.32
"ring -CH< : 8 | ring -N< : 2 | ring -O- : 2 | two fused rings >C= : 2 | ring =CH- : 5 | -OPO3 : 1 | ring =N- : 3 | -OH : 3 | -CH2- : 2 | ring =C< : 2 | -OPO3- : 1 | -NH2 : 2 | -OPO2- : 1 | ring -CH2- : 1 | >C=O : 1 | amide : 1 | Origin : 1 | OCCC : 1 | heteroaromatic : 2 | NADH : 1",-736.82
"ring -CH< : 8 | ring -N< : 1 | ring -O- : 2 | two fused rings >C= : 2 | ring =CH- : 6 | -OPO3 : 1 | ring =N- : 3 | -OH : 3 | -CH2- : 2 | ring =C< : 2 | -OPO3- : 1 | -NH2 : 2 | -OPO2- : 1 | dbl sgl ring =N< : 1 | >C=O : 1 | amide : 1 | Origin : 1 | OCCC : 1 | heteroaromatic : 3",-742.09
"O2 : 1",3.92
"orthophosphate : 1",-261.97
"ring -N< : 1 | ring -CH< : 4 | two fused rings >C= : 2 | ring =CH- : 2 | ring -O- : 1 | ring =N- : 3 | -OH : 2 | ring =C< : 1 | -CH2- : 6 | -OPO3 : 1 | -NH2 : 1 | -OPO3- : 1 | -OPO2- : 1 | >C< : 1 | >CH- : 1 | -CH3 : 2 | >C=O : 2 | -SH : 1 | amide : 2 | -NH- : 2 | Origin : 1 | heteroaromatic : 2 | COA : 1",-751.99
"pyrophosphate : 1",-480.93
"NH4 : 1",-18.97
"ring -CH< : 4 | ring -O- : 1 | ring >C=O : 2 | ring =CH- : 2 | -OH : 2 | -CH2- : 1 | -OPO2- : 1 | -OPO3 : 1 | amide : 2 | ring -N< : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1",-605.77
"ring -N< : 2 | two fused rings >C= : 4 | aromatic ring fused to nonaromatic ring >C=  : 2 | -CH2- : 3 | aromatic ring =CH- : 2 | >CH- : 3 | ring -NH- : 3 | ring >C=O : 2 | aromatic ring =C< : 2 | -OH : 5 | -CH3 : 2 | -OPO3- : 1 | -OPO2- : 1 | ring -CH< : 4 | ring -O- : 1 | ring =CH- : 2 | ring =N- : 3 | ring =C< : 1 | -NH2 : 1 | amide : 2 | Origin : 1 | OCCC : 1 | heteroaromatic : 2",-538.18
">C=O : 2 | >CH- : 3 | RW : 3 | -COO : 1 | -NH3 : 1 | amide : 2 | -NH- : 2 | Origin : 1","None"
"ring -N< : 1 | two fused rings >C= : 2 | ring -CH< : 4 | ring =CH- : 2 | ring =N- : 3 | ring -O- : 1 | ring =C< : 1 | -OH : 2 | -NH2 : 1 | -CH2- : 1 | -OPO3 : 1 | Origin : 1 | heteroaromatic : 2",-257.85
"ring -N< : 1 | two fused rings >C= : 2 | ring -CH< : 4 | ring =CH- : 2 | ring =N- : 3 | ring -O- : 1 | ring =C< : 1 | -OH : 2 | -NH2 : 1 | -CH2- : 3 | -S- : 1 | >CH- : 1 | -COO : 1 | -NH3 : 1 | Origin : 1 | heteroaromatic : 2",-76.11
">C=O : 1 | -COO : 1 | -CH3 : 1 | Origin : 1 | OCCO : 1",-112.69
"ring -N< : 1 | ring -CH< : 4 | two fused rings >C= : 2 | ring =CH- : 2 | ring -O- : 1 | ring =N- : 3 | -OH : 2 | ring =C< : 1 | -CH2- : 6 | -OPO3 : 1 | -NH2 : 1 | -OPO3- : 1 | -OPO2- : 1 | >C< : 1 | >CH- : 1 | -CH3 : 3 | >C=O : 3 | amide : 2 | -NH- : 2 | -S- : 1 | thioester : 1 | Origin : 1 | heteroaromatic : 2",-785.83
">C=O : 1 | -CH2- : 2 | -COO : 2 | Origin : 1 | OCCO : 1",-188.9
"H2O2 : 1",-32.05
"ring -N< : 1 | two fused rings >C= : 2 | ring -CH< : 4 | ring =CH- : 1 | ring =N- : 2 | ring -O- : 1 | ring >C=O : 1 | ring =C< : 1 | -OH : 2 | -NH2 : 1 | -CH2- : 1 | -OPO2- : 1 | -OPO3 : 1 | amide : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1 | CCNC : 1 | heteroaromatic : 1",-516.3
">C=O : 1 | -CH2- : 1 | -COO : 2 | Origin : 1 | OCCO : 1",-190.52
"-COO : 1 | -CH2- : 1 | -NH3 : 1 | Origin : 1",-87.73
"ring -CH< : 3 | ring -CH2- : 1 | ring -O- : 1 | -CH2- : 1 | RW : 2 | -OH : 1 | -O- : 1 | Origin : 1","None"
"-COO : 2 | -CH2- : 2 | Origin : 1",-162.96
"ring -CH< : 9 | ring -O- : 2 | ring >C=O : 2 | ring =CH- : 2 | -OH : 5 | -CH2- : 2 | -OPO3- : 1 | -OPO2- : 1 | >C=O : 1 | -CH3 : 1 | amide : 3 | ring -N< : 1 | ring -NH- : 1 | -NH- : 1 | Origin : 1 | OCCC : 1",-756.9
"ring -N< : 1 | two fused rings >C= : 2 | ring -CH< : 4 | ring =CH- : 1 | ring =N- : 2 | ring -O- : 1 | ring >C=O : 1 | ring =C< : 1 | -OH : 2 | -NH2 : 1 | -CH2- : 1 | -OPO2- : 2 | -OPO3 : 1 | amide : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1 | CCNC : 1 | heteroaromatic : 1",-724.3
"-COO : 1 | -CH=O : 1 | Origin : 1 | OCCO : 1",-111.04
">CH- : 1 | -CH2- : 1 | -COO : 2 | -NH3 : 1 | Origin : 1",-165.75
">CH- : 2 | >C=O : 2 | -CH2- : 4 | -SH : 1 | -COO : 2 | -NH3 : 1 | amide : 2 | -NH- : 2 | Origin : 1",-220.95
"ring -CH< : 9 | ring -O- : 2 | ring >C=O : 2 | ring =CH- : 2 | -OH : 6 | -CH2- : 2 | -OPO3- : 1 | -OPO2- : 1 | amide : 2 | ring -N< : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1",-762.55
"ring -N< : 1 | ring -CH< : 4 | two fused rings >C= : 2 | ring =CH- : 2 | ring -O- : 1 | ring =N- : 3 | -OH : 1 | ring =C< : 1 | -OPO3 : 1 | -CH2- : 1 | -NH2 : 1 | -OPO2- : 1 | -SO4 : 1 | Origin : 1 | heteroaromatic : 2",-580.35
"ring -CH< : 4 | ring -O- : 1 | ring >C=O : 1 | ring =CH- : 2 | -OH : 2 | ring =N- : 1 | -CH2- : 1 | ring =C< : 1 | -OPO3 : 1 | -NH2 : 1 | amide : 1 | ring -N< : 1 | Origin : 1 | OCNC : 1 | CCCN : 1",-345.38
"formate : 1",-83.9
"sulfate : 1",-177.97
"ring -N< : 1 | aromatic ring fused to nonaromatic ring >C=  : 2 | two fused rings >C= : 2 | -CH2- : 2 | aromatic ring =CH- : 2 | >CH- : 3 | ring -NH- : 3 | aromatic ring =C< : 2 | ring >C=O : 2 | -OH : 3 | -CH3 : 2 | -OPO3 : 1 | amide : 2 | Origin : 1 | OCCC : 1",-346.33
"-CH2- : 3 | >CH- : 1 | -COO : 1 | -NH3 : 1 | -NH- : 1 | =C< : 1 | -NH2 : 1 | =NH2 : 1 | Origin : 1",-73.77
"ring -CH< : 4 | ring -O- : 1 | ring >C=O : 1 | ring =CH- : 2 | -OH : 2 | ring =N- : 1 | -CH2- : 1 | ring =C< : 1 | -OPO2- : 2 | -NH2 : 1 | -OPO3 : 1 | amide : 1 | ring -N< : 1 | Origin : 1 | OCNC : 1 | CCCN : 1",-761.38
">CH- : 1 | -CH2- : 2 | -COO : 1 | -NH3 : 1 | >C=O : 1 | amide : 1 | -NH2 : 1 | Origin : 1",-121.69
"formaldehyde : 1",-31.2
">CH- : 1 | -COO : 1 | -CH2- : 2 | -NH3 : 1 | -S- : 1 | -CH3 : 1 | Origin : 1",-75.91
"-OPO3 : 1 | =C< : 1 | -COO : 1 | =CH2 : 1 | Origin : 1 | OCCC : 1",-316.08
"ring -CH< : 4 | ring -O- : 1 | ring >C=O : 2 | ring =CH- : 2 | -OH : 2 | -CH2- : 1 | -OPO2- : 2 | -OPO3 : 1 | amide : 2 | ring -N< : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1",-813.77
"aromatic ring fused to nonaromatic ring >C=  : 2 | ring =C< : 1 | aromatic ring =CH- : 4 | -CH2- : 1 | ring =CH- : 1 | ring -NH- : 1 | >CH- : 1 | -COO : 1 | -NH3 : 1 | Origin : 1 | heteroaromatic : 1",-25
"aromatic ring =C< : 1 | -CH2- : 1 | aromatic ring =CH- : 5 | >CH- : 1 | -COO : 1 | -NH3 : 1 | Origin : 1",-51.05
"H : 1",-9.53
"ring -N< : 1 | two fused rings >C= : 2 | ring -CH< : 4 | ring =CH- : 2 | ring =N- : 2 | ring -O- : 1 | ring >C=O : 1 | -OH : 2 | -CH2- : 1 | -OPO2- : 2 | -OPO3 : 1 | amide : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1 | CCNC : 1 | heteroaromatic : 1",-729.58
">CH- : 1 | -COO : 1 | -CH2- : 1 | -NH3 : 1 | aromatic ring =C< : 2 | aromatic ring =CH- : 4 | -OH : 1 | Origin : 1",-90.53
"ring -N< : 1 | ring -CH< : 4 | two fused rings >C= : 2 | ring =CH- : 2 | ring -O- : 1 | ring =N- : 3 | -OH : 2 | ring =C< : 1 | -CH2- : 7 | -OPO3 : 1 | -NH2 : 1 | -OPO3- : 1 | -OPO2- : 1 | >C< : 1 | >CH- : 1 | -CH3 : 2 | >C=O : 3 | -COO : 1 | amide : 2 | -NH- : 2 | -S- : 1 | thioester : 1 | Origin : 1 | heteroaromatic : 2",-863.66
"acetaldehyde : 1",-33.4
"ring -CH< : 3 | ring -O- : 1 | -CH2- : 2 | ring >C< : 1 | -OH : 4 | -OPO3 : 1 | Origin : 1",-431.67
"urea : 1",-48.7
"ring >C< : 1 | -O- : 1 | ring -O- : 2 | ring -CH< : 8 | -CH2- : 3 | -OH : 8 | Origin : 1",-377.65
"ring -N< : 1 | ring -CH< : 4 | two fused rings >C= : 2 | ring =CH- : 2 | ring -O- : 1 | ring =N- : 3 | -OH : 2 | ring =C< : 1 | -OPO3 : 1 | -CH2- : 8 | -NH2 : 1 | -OPO3- : 1 | -OPO2- : 1 | >C< : 1 | >CH- : 1 | -CH3 : 2 | >C=O : 3 | -COO : 1 | amide : 2 | -NH- : 2 | -S- : 1 | thioester : 1 | Origin : 1 | heteroaromatic : 2",-862.04
"-OPO3 : 1 | -CH2- : 2 | >CH- : 1 | -OH : 2 | Origin : 1",-328.68
"-CH2- : 2 | -COO : 1 | -NH3 : 1 | Origin : 1",-86.11
"ring -N< : 1 | ring -CH< : 4 | two fused rings >C= : 2 | ring =CH- : 2 | ring -O- : 1 | ring =N- : 3 | -OH : 2 | ring =C< : 1 | -CH2- : 7 | -OPO3 : 1 | -NH2 : 1 | -OPO3- : 1 | -OPO2- : 1 | >C< : 1 | >CH- : 1 | -CH3 : 3 | >C=O : 3 | amide : 2 | -NH- : 2 | -S- : 1 | thioester : 1 | Origin : 1 | heteroaromatic : 2",-784.21
"ring -N< : 1 | two fused rings >C= : 2 | ring -CH< : 4 | ring =CH- : 2 | ring =N- : 2 | ring -O- : 1 | ring >C=O : 1 | -OH : 2 | -CH2- : 1 | -OPO2- : 1 | -OPO3 : 1 | amide : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1 | CCNC : 1 | heteroaromatic : 1",-521.58
"ring -CH< : 4 | ring -O- : 1 | ring >C=O : 2 | ring =CH- : 2 | -OH : 2 | -CH2- : 1 | -OPO3 : 1 | amide : 2 | ring -N< : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1",-397.77
"ring >C=O : 2 | ring =CH- : 2 | amide : 2 | ring -NH- : 2 | Origin : 1 | OCCC : 1",-61.07
">C=O : 1 | -COO : 1 | -CH2- : 1 | -CH3 : 1 | Origin : 1 | OCCO : 1",-111.07
"ring -CH< : 4 | ring -O- : 1 | ring >C=O : 1 | ring =CH- : 2 | -OH : 2 | ring =N- : 1 | -CH2- : 1 | ring =C< : 1 | -OPO2- : 1 | -NH2 : 1 | -OPO3 : 1 | amide : 1 | ring -N< : 1 | Origin : 1 | OCNC : 1 | CCCN : 1",-553.38
"-CH2- : 2 | >N< : 1 | -CH3 : 3 | -OH : 1 | Origin : 1",12.19
">CH- : 1 | -CH2- : 2 | -OH : 3 | Origin : 1",-116.18
"-OPO3 : 1 | -CH2- : 1 | ring -CH< : 4 | ring -O- : 1 | -OH : 3 | Origin : 1",-394.12
"ring -CH< : 4 | ring -O- : 1 | -OPO2- : 1 | -OH : 2 | -CH2- : 1 | -OPO3 : 2 | Origin : 1",-814.62
"ring -CH< : 4 | ring -O- : 1 | -CH2- : 1 | -OH : 4 | Origin : 1",-181.62
">CH- : 2 | -CH2- : 1 | -COO : 1 | -NH3 : 1 | -CH3 : 2 | Origin : 1",-84.87
">CH- : 4 | >C=O : 4 | -CH2- : 8 | -S-S- : 1 | -COO : 4 | -NH3 : 2 | amide : 4 | -NH- : 4 | Origin : 1",-434.73
"-OPO2- : 1 | -OPO3 : 1 | -CH2- : 2 | =C< : 1 | -CH3 : 1 | =CH2 : 1 | Origin : 1",-439.84
"ring -N< : 1 | two fused rings >C= : 2 | ring -CH< : 4 | ring =CH- : 2 | ring =N- : 2 | ring -O- : 1 | ring >C=O : 1 | -OH : 2 | -CH2- : 1 | -OPO3 : 1 | amide : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1 | CCNC : 1 | heteroaromatic : 1",-313.58
"ring -N< : 1 | two fused rings >C= : 2 | ring -CH< : 3 | ring =CH- : 2 | ring =N- : 3 | ring -O- : 1 | ring -CH2- : 1 | ring =C< : 1 | -NH2 : 1 | -CH2- : 1 | -OH : 1 | -OPO2- : 2 | -OPO3 : 1 | Origin : 1 | heteroaromatic : 2",-634.01
"methanol : 1",-41.9
">CH- : 1 | -COO : 1 | -CH3 : 1 | -NH3 : 1 | Origin : 1",-87.92
"ring =C< : 1 | -CH2- : 1 | ring =CH- : 2 | ring =N- : 1 | >CH- : 1 | ring -NH- : 1 | -COO : 1 | -NH3 : 1 | Origin : 1 | heteroaromatic : 1",-45.63
"ring -CH< : 6 | -OH : 6 | Origin : 1",-219.96
"two fused rings >C= : 2 | ring -N< : 1 | ring =N- : 2 | ring -CH< : 4 | ring =CH- : 1 | ring >C=O : 1 | ring =C< : 1 | ring -O- : 1 | -NH2 : 1 | -OH : 2 | -CH2- : 1 | -OPO3 : 1 | amide : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1 | CCNC : 1 | heteroaromatic : 1",-308.3
"aromatic ring =C< : 1 | aromatic ring =CH- : 5 | -OH : 1 | Origin : 1",-9.9
"two fused rings >C= : 2 | ring =C< : 1 | ring =N- : 3 | ring -NH- : 1 | -NH2 : 1 | ring =CH- : 2 | Origin : 1 | heteroaromatic : 2",78.85
"ring -CH< : 1 | -COO : 1 | ring -CH2- : 3 | ring -NH- : 1 | Origin : 1",-62.54
">CH- : 1 | -CH2- : 1 | -COO : 1 | -NH3 : 1 | >C=O : 1 | amide : 1 | -NH2 : 1 | Origin : 1",-123.31
"ring =C< : 1 | ring =CH- : 4 | >C=O : 1 | ring =N- : 1 | amide : 1 | -NH2 : 1 | Origin : 1 | OCCC : 1 | heteroaromatic : 1",5.55
"ring -N< : 1 | ring -CH< : 4 | two fused rings >C= : 2 | ring =CH- : 2 | ring -O- : 1 | ring =N- : 3 | -OH : 2 | ring =C< : 1 | -CH2- : 20 | -OPO3 : 1 | -NH2 : 1 | -OPO3- : 1 | -OPO2- : 1 | >C< : 1 | >CH- : 1 | -CH3 : 3 | >C=O : 3 | amide : 2 | -NH- : 2 | -S- : 1 | thioester : 1 | Origin : 1 | heteroaromatic : 2",-763.15
">CH- : 1 | -CH2- : 2 | -COO : 1 | -NH3 : 1 | -SH : 1 | Origin : 1",-81.77
">C< : 1 | -CH2- : 2 | -COO : 3 | -OH : 1 | Origin : 1",-280.44
"-COO : 1 | -CH2- : 1 | -OH : 1 | Origin : 1",-122.98
"-COO : 1 | -CH2- : 1 | -CH3 : 1 | Origin : 1",-85.13
"aromatic ring =C< : 1 | -CH2- : 1 | aromatic ring =CH- : 5 | >C=O : 1 | -COO : 1 | Origin : 1 | OCCO : 1",-75.82
">C=O : 1 | -COO : 1 | -CH2- : 1 | -OH : 1 | Origin : 1 | OCCO : 1",-148.92
"-CO-OPO3- : 1 | amide : 1 | -NH2 : 1 | Origin : 1",-310.26
">CH- : 2 | -COO : 1 | -NH3 : 1 | -CH3 : 2 | Origin : 1",-86.49
">C=O : 1 | -CH2- : 2 | -OH : 2 | Origin : 1",-108.16
">CH- : 2 | -COO : 1 | -NH3 : 1 | -CH3 : 1 | -OH : 1 | Origin : 1",-124.34
"hydroxylamine : 1",-38.9
"ring -CH< : 4 | ring -O-CO- : 1 | -CH2- : 1 | -OH : 4 | Origin : 1",-216.02
"ring -N< : 1 | two fused rings >C= : 2 | ring -CH< : 3 | ring =CH- : 2 | ring =N- : 3 | ring -O- : 1 | ring -CH2- : 1 | ring =C< : 1 | -NH2 : 1 | -CH2- : 1 | -OH : 1 | -OPO2- : 1 | -OPO3 : 1 | Origin : 1 | heteroaromatic : 2",-426.01
"acetone : 1",-38.52
"ring -N< : 1 | two fused rings >C= : 2 | ring -CH< : 4 | ring =CH- : 2 | ring =N- : 3 | ring -O- : 1 | ring =C< : 1 | -OH : 3 | -NH2 : 1 | -CH2- : 1 | Origin : 1 | heteroaromatic : 2",-45.35
">CH- : 1 | -CH2- : 2 | -COO : 2 | -NH3 : 1 | Origin : 1",-164.13
"-CH2- : 1 | -COO : 1 | -CH=O : 1 | Origin : 1",-111.88
"-CO-OPO3- : 1 | -CH3 : 1 | Origin : 1",-301.65
"-CH2- : 2 | -COO : 1 | -CH=O : 1 | Origin : 1",-110.26
"ring -CH2- : 2 | ring -CH< : 6 | -OPO3- : 1 | ring -O- : 2 | RW : 2 | -OH : 1 | -CH2- : 2 | -O- : 1 | ring =CH- : 1 | ring =C< : 1 | -CH3 : 1 | ring >C=O : 2 | amide : 2 | ring -N< : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1","None"
"-OPO2- : 1 | -OPO3 : 1 | -CH2- : 1 | =CH- : 1 | =C< : 1 | -CH3 : 2 | Origin : 1",-439.18
"-CO-OPO3- : 1 | >CH- : 1 | -CH2- : 1 | -OH : 1 | -OPO3 : 1 | Origin : 1",-586.8
"ring -CH< : 3 | ring >C=O : 1 | ring =CH- : 2 | ring -O- : 1 | ring -CH2- : 1 | ring =N- : 1 | ring =C< : 1 | -CH2- : 1 | -OH : 1 | -NH2 : 1 | -OPO3 : 1 | amide : 1 | ring -N< : 1 | Origin : 1 | OCNC : 1 | CCCN : 1",-305.54
"two fused rings >C= : 2 | ring =N- : 2 | ring -NH- : 2 | ring >C=O : 1 | ring =C< : 1 | ring =CH- : 1 | -NH2 : 1 | amide : 1 | Origin : 1 | OCCC : 1 | CCNC : 1 | heteroaromatic : 1",28.4
"ring -CH< : 1 | ring -CH2- : 2 | ring -S- : 2 | -CH2- : 4 | >C=O : 1 | amide : 1 | -NH2 : 1 | Origin : 1",-21.54
"-CH2- : 14 | -COO : 1 | -CH3 : 1 | Origin : 1",-64.07
"ring -CH< : 2 | ring =CH- : 3 | -O- : 1 | ring =C< : 1 | -OH : 1 | =C< : 1 | -COO : 2 | =CH2 : 1 | Origin : 1 | OCCC : 2 | CCCC : 1",-169.49
">CH- : 1 | -COO : 1 | -CH3 : 1 | -OH : 1 | Origin : 1",-123.17
">CH- : 4 | -OH : 5 | -COO : 1 | -CH2- : 1 | Origin : 1",-268.66
">CH- : 1 | -COO : 1 | -CH2- : 1 | -OH : 2 | Origin : 1",-159.4
"aromatic ring =C< : 1 | aromatic ring =CH- : 5 | -CH=O : 1 | Origin : 1 | OCCC : 1",-0.35
"two fused rings >C= : 2 | ring >C=O : 1 | ring =N- : 2 | ring -NH- : 2 | ring =CH- : 2 | amide : 1 | Origin : 1 | OCCC : 1 | CCNC : 1 | heteroaromatic : 1",23.12
">CH- : 1 | -CH2- : 2 | -COO : 1 | -NH3 : 1 | -OH : 1 | Origin : 1",-122.53
"-CH2- : 1 | -CH=O : 1 | -OH : 1 | Origin : 1",-70.28
"ring -CH< : 3 | ring -O- : 1 | >CH- : 2 | ring >C< : 1 | -OH : 5 | ring -CH2- : 1 | >C=O : 1 | -COO : 1 | -CH2- : 1 | -CH3 : 1 | amide : 1 | -NH- : 1 | Origin : 1",-326.4
">CH- : 2 | >C=O : 2 | -OH : 4 | -CH2- : 2 | Origin : 1",-209.4
"-OPO3 : 1 | -CH2- : 1 | >CH- : 2 | -OH : 2 | -CH=O : 1 | Origin : 1",-355.62
"two fused rings >CH- : 3 | ring -CH2- : 8 | two fused rings >C< : 2 | two fused rings >C= : 1 | -CH3 : 2 | ring >C=O : 2 | ring =CH- : 1 | Origin : 1 | OCCC : 1",-18.43
"H2 : 1",4.21
"ring -N< : 1 | two fused rings >C= : 2 | ring -CH< : 4 | ring =CH- : 2 | ring =N- : 2 | ring -O- : 1 | ring >C=O : 1 | -OH : 3 | -CH2- : 1 | amide : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1 | CCNC : 1 | heteroaromatic : 1",-101.08
"ring =C< : 1 | ring =CH- : 1 | -COO : 1 | ring >C=O : 2 | amide : 2 | ring -NH- : 2 | Origin : 1 | OCCC : 2",-142.48
"ring >C< : 1 | -COO : 1 | ring -CH2- : 2 | -OH : 4 | ring -CH< : 3 | Origin : 1",-221.05
"ring -CH< : 4 | ring -O- : 1 | ring >C=O : 2 | ring =CH- : 2 | -OH : 3 | -CH2- : 1 | amide : 2 | ring -N< : 1 | ring -NH- : 1 | Origin : 1 | OCCC : 1",-185.27
"-N< : 1 | -CH2- : 1 | =C< : 1 | -CH3 : 1 | -COO : 1 | -NH2 : 1 | =NH2 : 1 | Origin : 1",-65.59
"ring -CH< : 4 | ring -O- : 1 | ring >C=O : 1 | ring =CH- : 2 | -OH : 2 | ring =N- : 1 | -CH2- : 3 | ring =C< : 1 | -OPO3- : 1 | -NH2 : 1 | -OPO2- : 1 | >N< : 1 | -CH3 : 3 | amide : 1 | ring -N< : 1 | Origin : 1 | OCNC : 1 | CCCN : 1",-479.69
">CH- : 2 | -CH2- : 1 | -COO : 3 | -OH : 1 | Origin : 1",-279.02
"ring -N< : 1 | ring -CH< : 4 | two fused rings >C= : 2 | ring =CH- : 2 | ring -O- : 1 | ring =N- : 3 | -OH : 2 | ring =C< : 1 | -OPO3 : 1 | -CH2- : 6 | -NH2 : 1 | -OPO3- : 1 | -OPO2- : 1 | >C< : 1 | >CH- : 1 | -CH3 : 2 | >C=O : 3 | -COO : 1 | amide : 2 | -NH- : 2 | -S- : 1 | thioester : 1 | Origin : 1 | OCCO : 1 | heteroaromatic : 2",-862.82
"-CH2- : 3 | >CH- : 1 | -COO : 1 | -NH3 : 1 | >C=O : 1 | amide : 2 | -NH- : 1 | -NH2 : 1 | Origin : 1",-123.87
"aromatic ring fused to nonaromatic ring >C=  : 2 | ring =C< : 1 | aromatic ring =CH- : 4 | -CH2- : 1 | ring =CH- : 1 | ring -NH- : 1 | >C=O : 1 | -COO : 1 | Origin : 1 | OCCO : 1 | heteroaromatic : 1",-49.77
