abbreviation	name	formula	charge	compartment	kegg_id	cas_id	internal_id	found in: 1) E. coli iJR904; 2) H. sapiens Recon 1; 3) H. pylori iIT341; 4) P. putida iJN746; 5) E. coli iAF1260; 6) S. cerevisiae iND750; 7) S. aureus iSB619; 8) E. coli textbook; 9) M. barkeri iAF692; 10) M. tuberculosis iNJ661; 	
nrpphrsf	Sulfate derivative of norepinephrine	C8H11NO6S	0	Cytosol, Extra-organism			2320877	2	
tymsf	Tyramine O-sulfate	C8H11NO4S	0	Cytosol, Extra-organism		30223-92-8	2320878	2	
4nphsf	4-Nitrophenyl sulfate	C6H4NO6S	-1	Cytosol, Extra-organism			2320881	2	
triodthysuf	Triiodothyronine sulfate	C15H11I3NO7S	-1	Cytosol, Extra-organism		31135-55-4	2320886	2	
cu	Cu+	Cu	1	Cytosol, Extra-organism, Periplasm			2323762	5	
23dhbzs	2,3-dihydroxybenzoylserine	C10H10NO6	-1	Cytosol			2324010	5	
2tpr3dpcoa	2'-(5''-triphosphoribosyl)-3'-dephospho-CoA	C26H40N7O26P5S	-6	Cytosol			2324025	5	
2amsa	2-Aminomalonate semialdehyde	C3H5NO3	0	Cytosol	C11822		2325274	5	
mso3	methanesulfonate	CH3O3S	-1	Cytosol, Extra-organism, Periplasm			2325303	4,5	
hmgth	hydroxymethylglutathione	C11H18N3O7S	-1	Cytosol			2325420	5	
LalaDglu	L-alanine-D-glutamate	C8H13N2O5	-1	Cytosol			2327197	5	
LalaDgluMdap	L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate	C15H25N4O8	-1	Cytosol, Extra-organism, Periplasm			2327200	5	
LalaDgluMdapDala	L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine	C18H30N5O9	-1	Cytosol, Extra-organism, Periplasm			2327202	5	
anhgm	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid	C19H29N2O12	-1	Cytosol, Extra-organism, Periplasm			2327204	5	
anhgm3p	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide	C34H52N6O19	-2	Cytosol, Periplasm			2327207	5	
anhgm4p	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide	C37H57N7O20	-2	Cytosol, Periplasm			2327353	5	
murein5p5p	two linked disacharide pentapeptide murein units (uncrosslinked, middle of chain)	C80H124N16O42	-4	Periplasm			2327731	5	
anhm3p	1,6-anhydrous-N-Acetylmuramyl-tripeptide	C26H39N5O14	-2	Cytosol			2328671	5	
anhm4p	1,6-anhydrous-N-Acetylmuramyl-tetrapeptide	C29H44N6O15	-2	Cytosol			2328673	5	
anhm	1,6-anhydrous-N-Acetylmuramate	C11H16NO7	-1	Cytosol			2328675	5	
um4p	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate-D-alanine	C38H56N8O27P2	-4	Cytosol			2328764	5	
LalaLglu	L-alanine-L-glutamate	C8H13N2O5	-1	Cytosol			2329493	5	
hdcecrn	Hexadecenoyl carnitine	C23H43NO4	0	Cytosol, Mitochondria			2362823	2	
phytcoa	phytanyl coa	C41H70N7O17P3S	-4	Cytosol, Peroxisome			2364522	2	
prist	pristanic acid	C19H37O2	-1	Cytosol, Peroxisome			2364527	2	
pristcoa	pristanoyl coa	C40H68N7O17P3S	-4	Cytosol, Peroxisome			2364529	2	
phyt2ohcoa	2-Hydroxyphytanoyl-CoA	C41H70N7O18P3S	-4	Peroxisome			2364545	2	
pristanal	pristanal	C19H38O	0	Cytosol, Peroxisome			2364547	2	
dmnoncoa	4,8 dimethylnonanoyl-CoA	C32H54N7O17P3S	-4	Cytosol, Mitochondria, Peroxisome			2364597	2	
dmnoncrn	4,8 dimethylnonanoyl carnitine	C18H37NO4	0	Mitochondria, Peroxisome			2365396	2	
dmhptcoa	2,6 dimethylheptanoyl-CoA	C30H52N7O17P3S	-4	Cytosol, Mitochondria			2365555	2	
enlipa	phosphoethanolamine KDO(2)-lipid (A)	C112H202N3O42P3	-6	Extra-organism, Periplasm			2374283	5	
udpLa4o	UDP-4-keto-pyranose	C14H18N2O16P2	-2	Cytosol			2374669	5	
udpLa4n	uridine 5''-diphospho-{beta}-4-deoxy-4-amino-L-arabinose	C14H22N3O15P2	-1	Cytosol			2374672	5	
uLa4n	undecaprenyl phosphate-4-amino-4-deoxy-L-arabinose	C60H100N1O7P1	0	Cytosol, Periplasm			2374674	5	
udpLa4fn	uridine 5''-diphospho-{beta}-4-deoxy-4-formamido-L-arabinose	C15H21N3O16P2	-2	Cytosol			2374694	5	
uLa4fn	undecaprenyl phosphate-4-amino-4-formyl-L-arabinose	C61H99N1O8P1	-1	Cytosol			2374700	5	
hlipa	heptosyl-kdo2-lipidA	C117H208N2O45P2	-6	Cytosol			2374859	5	
hhlipa	heptosyl-heptosyl-kdo2-lipidA	C124H220N2O51P2	-6	Cytosol			2374861	5	
icolipa	inner core oligosaccharide lipid A (E coli)	C145H251N2O74P4	-11	Cytosol			2374904	5	
phhlipa	phospho-heptosyl-heptosyl-kdo2-lipidA	C124H219N2O54P3	-8	Cytosol			2374920	5	
hphhlipa	heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA	C131H231N2O60P3	-8	Cytosol			2374922	5	
phphhlipa	phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA	C131H230N2O63P4	-10	Cytosol			2374930	5	
kphphhlipa	kdo-phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA	C139H241N2O70P4	-11	Cytosol			2374935	5	
gicolipa	glucosyl-inner core oligosaccharide lipid A	C151H261N2O79P4	-11	Cytosol			2375061	5	
gagicolipa	galactosyl-glucosyl-inner core oligosaccharide lipid A	C157H271N2O84P4	-11	Cytosol			2375062	5	
ggagicolipa	glucosyl-galactosyl-glucosyl-inner core oligosaccharide lipid A	C163H281N2O89P4	-11	Cytosol			2375065	5	
gggagicolipa	glucosyl-glucosyl-galactosyl-glucosyl-inner core oligosaccharide lipid A	C169H291N2O94P4	-11	Cytosol			2375067	5	
colipa	core oligosaccharide lipid A	C176H303N2O100P4	-11	Cytosol, Extra-organism, Periplasm			2375069	5	
acolipa	4-Amino-4-deoxy-L-arabinose modified core oligosaccharide lipid A	C181H314N3O103P4	-9	Extra-organism, Periplasm			2376800	5	
hacolipa	hepta-acylated core oligosaccharide lipid A (E. coli)	C192H333N2O101P4	-11	Extra-organism			2376980	5	
halipa	hepta-acylated KDO(2)-lipid (A)	C126H226N2O40P2	-6	Extra-organism			2376981	5	
eca2und	(enterobacterial common antigen)x2 undecaprenyl-diphosphate	C103H162N6O37P2	-4	Periplasm			2377323	5	
eca3und	(enterobacterial common antigen)x3 undecaprenyl-diphosphate	C127H198N9O52P2	-5	Periplasm			2377324	5	
eca4und	(enterobacterial common antigen)x4 undecaprenyl-diphosphate	C151H234N12O67P2	-6	Periplasm			2377325	5	
eca4colipa	(enterobacterial common antigen)x4 core oligosaccharide lipid A	C272H447N14O160P4	-15	Extra-organism, Periplasm			2377382	5	
ragund	rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate	C69H113N1O16P2	-2	Cytosol			2377416	10,5	
aragund	O-acetyl-rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate	C71H115N1O17P2	-2	Cytosol			2377425	5	
garagund	glucosyl-O-acetyl-rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate	C77H125N1O22P2	-2	Cytosol			2377434	5	
gfgaragund	galactofuranosyl-glucosyl-O-acetyl-rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate	C83H135N1O27P2	-2	Cytosol			2377443	5	
o16aund	O16 antigen undecaprenyl diphosphate	C89H145N1O32P2	-2	Cytosol, Periplasm			2377452	5	
o16a2und	(O16 antigen)x2 undecaprenyl diphosphate	C123H200N2O57P2	-2	Periplasm			2377475	5	
o16a3und	(O16 antigen)x3 undecaprenyl diphosphate	C157H255N3O82P2	-2	Periplasm			2377481	5	
o16a4und	(O16 antigen)x4 undecaprenyl diphosphate	C191H310N4O107P2	-2	Periplasm			2377483	5	
o16a4colipa	(O16 antigen)x4 core oligosaccharide lipid A	C312H523N6O200P4	-11	Extra-organism, Periplasm			2377506	5	
lnlcACP	linoleic acid ACP (all cis)	C29H51N2O8PRS	-1	Cytosol			2377664	2	
lneldcACP	linoelaidic acid ACP (all trans)	C29H51N2O8PRS	-1	Cytosol			2377665	2	
ethso3	ethanesulfonate	C2H5O3S	-1	Cytosol, Extra-organism, Periplasm			2380360	4,5	
butso3	butanesulfonate	C4H9O3S	-1	Cytosol, Extra-organism, Periplasm			2380361	5	
sulfac	sulfoacetate	C2H2O5S	-2	Cytosol, Extra-organism, Periplasm			2380362	5	
crn-D	D-Carnitine	C7H15NO3	0	Cytosol, Periplasm	C00487		2386130	5	
crnDcoa	D-carnitinyl-CoA	C28H46N8O18P3S	-3	Cytosol			2386261	5	
Rtotalcoa	R total Coenzyme A	CO2FULLRC21H31N7O15P3S	-4	Cytosol, Mitochondria, Peroxisome			2386329	2	
Rtotal2coa	R total 2 coenzyme A	CO2FULLR2C21H31N7O15P3S	-4	Cytosol, Mitochondria			2386333	2	
Rtotal3coa	R total 3 Coenzyme A	CO2FULLR3C21H31N7O15P3S	-4	Cytosol, Mitochondria			2386334	2	
14glucan	1,4-alpha-D-glucan	C36H62O31	0	Cytosol, Extra-organism, Periplasm			2387686	5	
dhmptp	dihydromonapterin-triphosphate	C9H12N5O13P3	-4	Cytosol			2387745	5	
bglycogen	branching glycogen	C6H10O5	0	Cytosol			2387835	5	
grxrd	glutaredoxin (reduced)	XH2	0	Cytosol			2388474	5	
grxox	glutaredoxin (oxidized)	X	0	Cytosol			2388475	5	
xu1p-D	D-Xylulose 1-phosphate	C5H9O8P	-2	Cytosol			2388820	2	
fe3dhbzs	ferric 2,3-dihydroxybenzoylserine	C10H10NO6Fe	2	Cytosol, Extra-organism, Periplasm			2388875	5	
1glyc_hs	1 acyl phosphoglycerol	C6H13O7PFULLRCO2	-1	Extra-organism			2389141	2	
so2	sulfur dioxide	O2S	0	Cytosol, Extra-organism, Periplasm	C09306		2389303	5	
cpgn-un	coprogen unloaded (no Fe(III))	C35H52N6O13	-4	Cytosol, Extra-organism, Periplasm			2391021	5	
Rtotalcrn	R total carnitine	CO2FULLRC7H14NO2	0	Cytosol, Mitochondria			2392271	2	
Rtotal2crn	R total 2 carnitine	CO2FULLR2C7H14NO2	0	Cytosol, Mitochondria			2392272	2	
Rtotal3crn	R total 3 carnitine	CO2FULLR3C7H14NO2	0	Cytosol, Mitochondria			2392273	2	
34hpl	3-(4-Hydroxyphenyl)lactate	C9H9O4	-1	Mitochondria			2392410	2	
coucoa	p-coumaroyl-CoA	C30H38N7O18P3S1	-4	Mitochondria			2392457	2	
4hbzcoa	4-hydroxybenoyl-CoA	C28H36N7O18P3S	-4	Mitochondria			2392523	2	
ptdcacoa	pentadecanoyl Coenzyme A	C36H60N7O17P3S	-4	Cytosol, Mitochondria			2415313	2	
hpdcacoa	heptadecanoyl coa	C38H64N7O17P3S	-4	Cytosol, Mitochondria			2415330	2	
cs_a_deg1	chondroitin sulfate A (GalNAc4S-GlcA), degradation product 1	C45H68N2O43S2	-4	Lysosome			2415875	2	
cs_a	chondroitin sulfate A (GalNAc4S-GlcA), free chain	C45H67N2O46S3	-5	Lysosome			2415876	2	
cs_c	chondroitin sulfate C (GalNAc6S-GlcA), free chain	C45H67N2O46S3	-5	Lysosome			2415878	2	
cs_d	chondroitin sulfate D (GlcNAc6S-GlcA2S), free chain	C45H65N2O52S5	-7	Lysosome			2415879	2	
cs_b	chondroitin sulfate B / dermatan sulfate (IdoA2S-GalNAc4S), free chain	C45H66N2O49S4	-6	Lysosome			2415880	2	
cs_e	chondroitin sulfate E (GalNAc4,6diS-GlcA), free chain	C45H64N2O55S6	-8	Lysosome			2415881	2	
cs_a_deg2	chondroitin sulfate A (GalNAc4S-GlcA), degradation product 2	C37H55NO38S2	-4	Lysosome			2415888	2	
cs_a_deg3	chondroitin sulfate A (GalNAc4S-GlcA), degradation product 3	C31H48NO32S2	-3	Lysosome			2415890	2	
cs_a_deg4	chondroitin sulfate A (GalNAc4S-GlcA), degradation product 4	C31H49NO29S	-2	Lysosome			2415893	2	
cs_a_deg5	chondroitin sulfate A (GalNAc4S-GlcA), degradation product 5	C23H36O24S	-2	Lysosome			2415895	2	
cs_b_deg1	chondroitin sulfate B / dermatan sulfate (IdoA2S-GalNAc4S), degradation product 1	C45H67N2O46S3	-5	Lysosome			2415980	2	
cs_b_deg2	chondroitin sulfate B / dermatan sulfate (IdoA2S-GalNAc4S), degradation product 2	C37H54NO41S3	-5	Lysosome			2415982	2	
cs_b_deg3	chondroitin sulfate B / dermatan sulfate (IdoA2S-GalNAc4S), degradation product 3	C37H55NO38S2	-4	Lysosome			2415986	2	
cs_c_deg1	chondroitin sulfate C (GalNAc6S-GlcA), degradation product 1	C45H68N2O43S2	-4	Lysosome			2416055	2	
cs_c_deg2	chondroitin sulfate C (GalNAc6S-GlcA), degradation product 2	C37H55NO38S2	-4	Lysosome			2416058	2	
cs_c_deg3	chondroitin sulfate C (GalNAc6S-GlcA), degradation product 3	C31H48NO32S2	-3	Lysosome			2416060	2	
cs_c_deg4	chondroitin sulfate C (GalNAc6S-GlcA), degradation product 4	C31H49NO29S	-2	Lysosome			2416062	2	
cs_c_deg5	chondroitin sulfate C (GalNAc6S-GlcA), degradation product 5	C23H36O24S	-2	Lysosome			2416064	2	
cs_d_deg1	chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 1	C45H66N2O49S4	-6	Lysosome			2416173	2	
cs_d_deg2	chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 2	C37H53NO44S4	-6	Lysosome			2416175	2	
cs_d_deg3	chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 3	C37H54NO41S3	-5	Lysosome			2416177	2	
cs_d_deg4	chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 4	C31H47NO35S3	-4	Lysosome			2416179	2	
cs_d_deg5	chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 5	C31H48NO32S2	-3	Lysosome			2416182	2	
cs_d_deg6	chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 6	C23H35O27S2	-3	Lysosome			2416184	2	
cs_e_deg1	chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 1	C45H65N2O52S5	-7	Lysosome			2416310	2	
cs_e_deg2	chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 2	C45H66N2O49S4	-6	Lysosome			2416314	2	
cs_e_deg3	chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 3	C37H53NO44S4	-6	Lysosome			2416316	2	
cs_e_deg4	chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 4	C31H46NO38S4	-5	Lysosome			2416318	2	
cs_e_deg5	chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 5	C31H47NO35S3	-4	Lysosome			2416322	2	
cs_e_deg6	chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 6	C31H48NO32S2	-3	Lysosome			2416324	2	
cs_e_deg7	chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 7	C23H35O27S2	-3	Lysosome			2416326	2	
ksi_deg1	keratan sulfate I, degradation product 1	C241H383N17O209S12X	-13	Extra-organism, Lysosome			2416915	2	
ksi_deg2	keratan sulfate I, degradation product 2	C241H384N17O210S12	-13	Lysosome			2416916	2	
ksi_deg3	keratan sulfate I, degradation product 3	C233H371N16O205S12	-13	Lysosome			2416917	2	
ksi_deg4	keratan sulfate I, degradation product 4	C222H355N15O197S12	-12	Lysosome			2416918	2	
ksi_deg5	keratan sulfate I, degradation product 5	C222H356N15O194S11	-11	Lysosome			2416919	2	
ksi_deg6	keratan sulfate I, degradation product 6	C210H336N15O184S11	-11	Lysosome			2416920	2	
ksi_deg7	keratan sulfate I, degradation product 7	C210H337N15O181S10	-10	Lysosome			2416921	2	
ksi_deg8	keratan sulfate I, degradation product 8	C194H311N13O171S10	-10	Lysosome			2416922	2	
ksi_deg9	keratan sulfate I, degradation product 9	C188H301N13O166S10	-10	Lysosome			2416923	2	
ksi_deg10	keratan sulfate I, degradation product 10	C188H302N13O163S9	-9	Lysosome			2416924	2	
ksi_deg11	keratan sulfate I, degradation product 11	C180H289N12O158S9	-9	Lysosome			2416925	2	
ksi_deg12	keratan sulfate I, degradation product 12	C174H279N12O153S9	-9	Lysosome			2416926	2	
ksi_deg13	keratan sulfate I, degradation product 13	C174H280N12O150S8	-8	Lysosome			2416927	2	
ksi_deg14	keratan sulfate I, degradation product 14	C166H267N11O145S8	-8	Lysosome			2416928	2	
ksi_deg15	keratan sulfate I, degradation product 15	C160H257N11O140S8	-8	Lysosome			2416930	2	
ksi_deg18	keratan sulfate I, degradation product 18	C146H235N10O127S7	-7	Lysosome			2416931	2	
ksi_deg21	keratan sulfate I, degradation product 21	C132H213N9O114S6	-6	Lysosome			2416932	2	
ksi_deg24	keratan sulfate I, degradation product 24	C118H191N8O101S5	-5	Lysosome			2416933	2	
ksi_deg27	keratan sulfate I, degradation product 27	C104H169N7O88S4	-4	Lysosome			2416934	2	
ksi_deg30	keratan sulfate I, degradation product 30	C90H147N6O75S3	-3	Lysosome			2416935	2	
ksi_deg33	keratan sulfate I, degradation product 33	C76H125N5O62S2	-2	Lysosome			2416936	2	
ksi_deg36	keratan sulfate I, degradation product 36	C62H103N4O49S1	-1	Lysosome			2416937	2	
ksi_deg16	keratan sulfate I, degradation product 16	C160H258N11O137S7	-7	Lysosome			2416939	2	
ksi_deg19	keratan sulfate I, degradation product 19	C146H236N10O124S6	-6	Lysosome			2416940	2	
ksi_deg22	keratan sulfate I, degradation product 22	C132H214N9O111S5	-5	Lysosome			2416941	2	
ksi_deg25	keratan sulfate I, degradation product 25	C118H192N8O98S4	-4	Lysosome			2416942	2	
ksi_deg28	keratan sulfate I, degradation product 28	C104H170N7O85S3	-3	Lysosome			2416943	2	
ksi_deg31	keratan sulfate I, degradation product 31	C90H148N6O72S2	-2	Lysosome			2416944	2	
ksi_deg34	keratan sulfate I, degradation product 34	C76H126N5O59S1	-1	Lysosome			2416945	2	
ksi_deg37	keratan sulfate I, degradation product 37	C62H104N4O46	0	Lysosome			2416946	2	
ksi_deg17	keratan sulfate I, degradation product 17	C152H245N10O132S7	-7	Lysosome			2416947	2	
ksi_deg20	keratan sulfate I, degradation product 20	C138H223N9O119S6	-6	Lysosome			2416948	2	
ksi_deg23	keratan sulfate I, degradation product 23	C124H201N8O106S5	-5	Lysosome			2416949	2	
ksi_deg26	keratan sulfate I, degradation product 26	C110H179N7O93S4	-4	Lysosome			2416950	2	
ksi_deg29	keratan sulfate I, degradation product 29	C96H157N6O80S3	-3	Lysosome			2416951	2	
ksi_deg32	keratan sulfate I, degradation product 32	C82H135N5O67S2	-2	Lysosome			2416952	2	
ksi_deg35	keratan sulfate I, degradation product 35	C68H113N4O54S1	-1	Lysosome			2416953	2	
ksi_deg38	keratan sulfate I, degradation product 38	C54H91N3O41	0	Lysosome			2416954	2	
ksi_deg39	keratan sulfate I, degradation product 39	C48H81N3O36	0	Lysosome			2416955	2	
ksi_deg40	keratan sulfate I, degradation product 40	C40H68N2O31	0	Lysosome			2416956	2	
ksi_deg41	keratan sulfate I, degradation product 41	C34H58N2O26	0	Lysosome			2416957	2	
ksii_core2_deg1	keratan sulfate II (core 2-linked), degradation product 1	C70H113N5O59S3X	-3	Lysosome			2418056	2	
ksii_core2_deg2	keratan sulfate II (core 2-linked), degradation product 2	C70H114N5O56S2X	-2	Lysosome			2418057	2	
ksii_core2_deg3	keratan sulfate II (core 2-linked), degradation product 3	C58H94N5O46S2X	-2	Lysosome			2418058	2	
ksii_core2_deg4	keratan sulfate II (core 2-linked), degradation product 4	C58H95N5O43SX	-1	Lysosome			2418059	2	
ksii_core2_deg5	keratan sulfate II (core 2-linked), degradation product 5	C50H82N4O38SX	-1	Lysosome			2418060	2	
ksii_core2_deg6	keratan sulfate II (core 2-linked), degradation product 6	C44H72N4O33SX	-1	Lysosome			2418061	2	
ksii_core2_deg7	keratan sulfate II (core 2-linked), degradation product 7	C44H73N4O30X	0	Lysosome			2418062	2	
ksii_core2_deg8	keratan sulfate II (core 2-linked), degradation product 8	C36H60N3O25X	0	Lysosome			2418063	2	
ksii_core2_deg9	keratan sulfate II (core 2-linked), degradation product 9	C30H50N3O20X	0	Lysosome			2418064	2	
ksii_core4_deg1	keratan sulfate II (core 4-linked), degradation product 1	C78H126N6O64S3X	-3	Lysosome			2418067	2	
ksii_core4_deg2	keratan sulfate II (core 4-linked), degradation product 2	C78H127N6O61S2X	-2	Lysosome			2418068	2	
ksii_core4_deg3	keratan sulfate II (core 4-linked), degradation product 3	C66H107N6O51S2X	-2	Lysosome			2418069	2	
ksii_core4_deg4	keratan sulfate II (core 4-linked), degradation product 4	C66H108N6O48SX	-1	Lysosome			2418070	2	
ha_pre1	hyaluronan biosynthesis, precursor 1	C14H20NO11	-1	Extra-organism, Lysosome			2418505	2	
ha_deg1	hyaluronan degradation product 1	C22H33N2O16	-1	Lysosome			2418548	2	
pepslys	peptide sans lysine	X	0	Endoplasmic Reticulum			2418619	2	
thbpt4acam	Tetrahydrobiopterin-4a-carbinolamine	C9H15N5O4	0	Cytosol			2419181	2	
acglcgalgluside_hs	(Gal)1 (Glc)1 (GlcNAc)1 (Cer)1	C38H69N2O17FULLRCO	0	Golgi Apparatus			2419320	2	
galacglcgalgluside_hs	Lc4Cer	C44H79N2O22FULLRCO	0	Golgi Apparatus			2419325	2	
fucgalacglcgalgluside_hs	Type IH glycolipid	C50H89N2O26FULLRCO	0	Golgi Apparatus			2419328	2	
fucfucgalacglcgalgluside_hs	Leb glycolipid	C56H99N2O30FULLRCO	0	Cytosol, Extra-organism, Golgi Apparatus			2419332	2	
galfucgalacglcgalgluside_hs	Type IB glycolipid	C56H99N2O31FULLRCO	0	Golgi Apparatus			2419336	2	
fucgalfucgalacglcgalgluside_hs	(Gal)3 (Glc)1 (GlcNAc)1 (LFuc)2 (Cer)1	C62H109N2O35FULLRCO	0	Cytosol, Extra-organism, Golgi Apparatus			2419338	2	
acngalacglcgalgluside_hs	(Gal)3 (Glc)1 (GlcNAc)1 (Cer)1	C55H95N3O30FULLRCO	-1	Golgi Apparatus			2419342	2	
fucacngalacglcgalgluside_hs	IV3-a-Neu5Ac,III4-a-Fuc-Lc4Cer	C61H105N3O34FULLRCO	-1	Cytosol, Extra-organism, Golgi Apparatus			2419343	2	
acgalfucgalacglcgalgluside_hs	Type IA glycolipid	C58H102N3O31FULLRCO	0	Golgi Apparatus			2419346	2	
fucacgalfucgalacglcgalgluside_hs	(Gal)2 (GalNAc)1 (Glc)1 (GlcNAc)1 (LFuc)2 (Cer)1	C64H112N3O35FULLRCO	0	Cytosol, Extra-organism, Golgi Apparatus			2419348	2	
fuc14galacglcgalgluside_hs	Lea glycolipid	C50H89N2O26FULLRCO	0	Cytosol, Extra-organism, Golgi Apparatus			2419350	2	
gal14acglcgalgluside_hs	Lactoneotetraosylceramide	C44H79N2O22FULLRCO	0	Golgi Apparatus			2419354	2	
fucgal14acglcgalgluside_hs	Lacto-N-fucopentaosyl III ceramide	C50H89N2O26FULLRCO	0	Cytosol, Extra-organism, Golgi Apparatus			2419362	2	
acngal14acglcgalgluside_hs	Sialyl-3-paragloboside	C55H95N3O30FULLRCO	-1	Golgi Apparatus			2419369	2	
acnacngal14acglcgalgluside_hs	3',8'-LD1	C66H111N4O38FULLRCO	-2	Cytosol, Extra-organism, Golgi Apparatus			2419375	2	
fucacngal14acglcgalgluside_hs	IV3-a-NeuAc,III3-a-Fuc-nLc4Cer	C61H105N3O34FULLRCO	-1	Cytosol, Extra-organism, Golgi Apparatus			2419377	2	
fuc12gal14acglcgalgluside_hs	Type IIH glycolipid	C50H89N2O26FULLRCO	0	Golgi Apparatus			2419384	2	
fucfuc12gal14acglcgalgluside_hs	Ley glycolipid	C56H99N2O30FULLRCO	0	Cytosol, Extra-organism, Golgi Apparatus			2419391	2	
acgalfuc12gal14acglcgalgluside_hs	(Gal)2 (GalNAc)1 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1	C58H102N3O31FULLRCO	0	Golgi Apparatus			2419396	2	
galacgalfuc12gal14acglcgalgluside_hs	(Gal)3 (GalNAc)1 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1	C64H112N3O36FULLRCO	0	Golgi Apparatus			2419398	2	
fucgalacgalfuc12gal14acglcgalgluside_hs	Type IIIH glycolipid	C70H122N3O40FULLRCO	0	Golgi Apparatus			2419399	2	
acgalfucgalacgalfuc12gal14acglcgalgluside_hs	Type IIIA glycolipid	C78H135N4O45FULLRCO	0	Cytosol, Extra-organism, Golgi Apparatus			2419401	2	
galfuc12gal14acglcgalgluside_hs	(Gal)3 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1	C56H99N2O31FULLRCO	0	Cytosol, Extra-organism, Golgi Apparatus			2419403	2	
acglcgal14acglcgalgluside_hs	nLc5Cer	C52H92N3O27FULLRCO	0	Golgi Apparatus			2419404	2	
galacglcgal14acglcgalgluside_hs	i-antigen	C58H102N3O32FULLRCO	0	Golgi Apparatus			2419406	2	
acglcgalacglcgal14acglcgalgluside_hs	(Gal)3 (Glc)1 (GlcNAc)3 (Cer)1	C66H115N4O37FULLRCO	0	Golgi Apparatus			2419409	2	
galacglcgalacglcgal14acglcgalgluside_hs	I-antigen	C72H125N4O42FULLRCO	0	Golgi Apparatus			2419410	2	
fucfucgalacglcgalacglcgal14acglcgalgluside_hs	(Gal)4 (Glc)1 (GlcNAc)3 (LFuc)2 (Cer)1	C84H145N4O50FULLRCO	0	Golgi Apparatus			2419416	2	
galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs	(Gal)6 (Glc)1 (GlcNAc)3 (LFuc)2 (Cer)1	C96H165N4O60FULLRCO	0	Cytosol, Extra-organism, Golgi Apparatus			2419419	2	
fucgalacglcgal14acglcgalgluside_hs	VI2Fuc-nLc6	C64H112N3O36FULLRCO	0	Golgi Apparatus			2419437	2	
acgalfucgalacglcgal14acglcgalgluside_hs	(Gal)3 (GalNAc)1 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1	C72H125N4O41FULLRCO	0	Golgi Apparatus			2419441	2	
galacgalfucgalacglcgal14acglcgalgluside_hs	(Gal)4 (GalNAc)1 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1	C78H135N4O46FULLRCO	0	Golgi Apparatus			2419442	2	
fucgalacgalfucgalacglcgal14acglcgalgluside_hs	(Gal)4 (GalNAc)1 (Glc)1 (GlcNAc)2 (LFuc)2 (Cer)1	C84H145N4O50FULLRCO	0	Golgi Apparatus			2419443	2	
acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs	Type IIIAb	C92H158N5O55FULLRCO	0	Cytosol, Extra-organism, Golgi Apparatus			2419444	2	
acngalacglcgal14acglcgalgluside_hs	VI3NeuAc-nLc6Cer	C69H118N4O40FULLRCO	-1	Cytosol, Extra-organism, Golgi Apparatus			2419446	2	
galfucgalacglcgal14acglcgalgluside_hs	(Gal)4 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1	C70H122N3O41FULLRCO	0	Cytosol, Extra-organism, Golgi Apparatus			2419448	2	
fucfucgalacglcgal14acglcgalgluside_hs	(Gal)3 (Glc)1 (GlcNAc)2 (LFuc)2 (Cer)1	C70H122N3O40FULLRCO	0	Golgi Apparatus			2419450	2	
