abbreviation	name	synonyms	equation	subsystem	compartment	ecnumber	reversible	translocation	internal_id	confidence_score	notes	
AMALT1	Amylomaltase (maltotriose)		[c] : malt + malttr --> glc-D + maltttr	Alternate Carbon Metabolism	Cytosol	2.4.1.25	Irreversible	N	1486171	4		
GLUTRR	glutamyl-tRNA reductase		[c] : glutrna + h + nadph --> glu1sa + nadp + trnaglu	Cofactor and Prosthetic Group Biosynthesis	Cytosol		Irreversible	N	242638	0		
PSP_L	phosphoserine phosphatase (L-serine)		[c] : h2o + pser-L --> pi + ser-L	Glycine and Serine Metabolism	Cytosol	3.1.3.3	Irreversible	N	140745	0		
23DAPPAt2pp	2,3-diaminopropionate transport in via proton symport		23dappa[p] + h[p] --> 23dappa[c] + h[c]	Transport, Inner Membrane	Cytosol, Periplasm		Irreversible	Y	3242092	2	Assumed transport since DAPAL is a proven reaction//AMF	
TYRTRS	tyrosyl-tRNA synthetase		[c] : atp + trnatyr + tyr-L --> amp + ppi + tyrtrna	tRNA charging	Cytosol	6.1.1.1	Irreversible	N	1447889	4	Added to incorporate tRNA peptides into model	
P5CR	pyrroline-5-carboxylate reductase		[c] : 1pyr5c + (2) h + nadph --> nadp + pro-L	Arginine and Proline Metabolism	Cytosol	1.5.1.2	Irreversible	N	1529974	0		
PHEtex	L-phenylalanine transport via diffusion (extracellular to periplasm)		phe-L[e] <==> phe-L[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	1916050		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
GTHRDabc2pp	glutathione export via ABC system (cytoplasm to periplasm)		atp[c] + gthrd[c] + h2o[c] --> adp[c] + gthrd[p] + h[c] + pi[c]	Transport, Inner Membrane	Cytosol, Periplasm		Irreversible	Y	2703896	4	characterized in PMID: 16040611//AMF	
LPLIPAL1E140pp	Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C14:0) (periplasm)		[p] : 1agpe140 + h2o --> g3pe + h + ttdca	Glycerophospholipid Metabolism	Periplasm	3.1.1.5	Irreversible	N	2733973	2	PMID: 10423542//Enzyme also has shown both protease I and thioesterase I activities, not sure of specificity of protease substrates and not sure of acyl-CoA compounds in the periplasm.//See also, PMID: 1864840//AMF//	
PGLYCP	Phosphoglycolate phosphatase	P-glycolate phosphatase, phosphoglycolate hydrolase, phosphoglycollate phosphatase	[c] : 2pglyc + h2o --> glyclt + pi	Alternate Carbon Metabolism	Cytosol	3.1.3.18	Irreversible	N	1472047	4	This enzyme is normally used in CO2 fixation during photosynthesis, unknown why E. coli has this function	
PHETRS	Phenylalanyl-tRNA synthetase		[c] : atp + phe-L + trnaphe --> amp + phetrna + ppi	tRNA Charging	Cytosol	6.1.1.20	Irreversible	N	227887	4	Added to incorporate tRNA peptides into model	
PAPA140pp	Phosphatidate phosphatase (periplasmic, n-C14:0)	acid phosphatidyl phosphatase;, phosphatic acid phosphatase;, phosphatic acid phosphohydrolase, phosphatidate phosphatase;	[p] : h2o + pa140 --> 12dgr140 + pi	Glycerophospholipid Metabolism	Periplasm	3.1.3.4	Irreversible	N	2706040	3	from PMID: 2846511//PGPP activity is higher in the cytoplasmic membrane than the outer membrane, whereas PAPA activities are higher in the outer membrane.//It appears that PgpA activity is for PAPA where PgpB activity is for both PAPA and PGP.//PgpB is known to be located in both the inner and outer membrane, pgpA is acitve in the inner membrane.  However, it is not know which side of the membranes the active site for each of the enzymes is on.////removal of the phosphate moiety from PG-phosphate, is indeterminate because at least three different enzymes (PgpA, PgpB, and an unknown protein) are thought to catalyze this hydrolytic step.//PMID: 14527277////PMID: 9370315 states gene responsible is pgpB in E coli////reactions are set up to act on FA with two identical -acyl chain lengths////AMF	
G6PDH2r	glucose 6-phosphate dehydrogenase		[c] : g6p + nadp <==> 6pgl + h + nadph	Pentose Phosphate Pathway	Cytosol	1.1.1.49	Reversible	N	1437943	3	PMID: 1729252//AMF//not sure of reversibility//doesnt matter in that 6pgl is only used in one other reaction	
ADOCBLabcpp	Adenosylcobalamin transport via ABC system (periplasm)		adocbl[p] + atp[c] + h2o[c] --> adocbl[c] + adp[c] + h[c] + pi[c]	Transport, Inner Membrane	Cytosol, Periplasm		Irreversible	Y	1915747	4	This form can also be transported across the outer membrane, but I am not sure if the adenylated form exists in the environment////PMID: 342526	
PGSA141	Phosphatidylglycerol synthase (n-C14:1)		[c] : cdpdtdec7eg + glyc3p --> cmp + h + pgp141	Glycerophospholipid Metabolism	Cytosol	2.7.8.5	Irreversible	N	2617812	4	reactions are set up to act on FA with two identical -acyl chain lengths//AMF	
NTPP8	Nucleoside triphosphate pyrophosphorylase (utp)		[c] : h2o + utp --> h + ppi + ump	Nucleotide Salvage Pathway	Cytosol		Irreversible	N	1488280	4		
ASCBtex	L-ascorbate transport via diffusion (extracellular to periplasm)		ascb-L[e] <==> ascb-L[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	1915092		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
NAtex	sodium transport via diffusion (extracellular to periplasm)		na1[e] <==> na1[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	1916013		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
G1Ptex	D-glucose 1-phosphate transport via diffusion		g1p[e] <==> g1p[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	2324895		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
GALCTD	galactarate dehydratase		[c] : galct-D --> 5dh4dglc + h2o	Alternate Carbon Metabolism	Cytosol	4.2.1.42	Irreversible	N	1472187	4		
LYSabcpp	L-lysine transport via ABC system (periplasm)		atp[c] + h2o[c] + lys-L[p] --> adp[c] + h[c] + lys-L[c] + pi[c]	Transport, Inner Membrane	Cytosol, Periplasm		Irreversible	Y	1912496	0		
OCDCAtexi	Octadecanoate transport via facilitated irreversible diffusion (extracellular to periplasm)		ocdca[e] --> ocdca[p]	Transport, Outer Membrane	Extra-organism, Periplasm		Irreversible	Y	1917141	4	Transport of C12 - C18 fatty acids are facilitated by the outer membrane FadL protein (PMID: 103228825), inner membrane transport and subsequently outer membrane can require FACOAL enzyme (PMID: 15067008)////smaller FA can also pass through, C6 - C11, but can also diffuse, so they weren't associated	
ASNS1	asparagine synthase (glutamine-hydrolysing)		[c] : asp-L + atp + gln-L + h2o --> amp + asn-L + glu-L + h + ppi	Alanine and Aspartate Metabolism	Cytosol	6.3.5.4	Irreversible	N	138207	0		
ADA	Adenosine deaminase		[c] : adn + h + h2o --> ins + nh4	Nucleotide Salvage Pathway	Cytosol	3.5.4.4	Irreversible	N	1529051	0		
PG181abcpp	phosphatidylglycerol transport via ABC system (n-C18:1, periplasm)		atp[c] + h2o[c] + pg181[c] --> adp[c] + h[c] + pg181[p] + pi[c]	Transport, Inner Membrane	Cytosol, Periplasm		Irreversible	Y	2705967	1	PMID: 15304478 suggests that MsbA facilitates the rapid translocation of some lipids from the cytoplasmic to the periplasmic side of the inner membrane in living cells.//no specific mention of://pa//pg//pgp//but PMID: 15890883 does mention that MsbA will transport://pe////personal communication (Charles Rock, Jan. 7 06): 'MsbA is an interesting issue.  It certainly transports the lipid A molecule.  In msbA mutants, PE also accumulates inside the cell//suggesting that PE is also transported by MsbA.  However, some scientists think this may not be the case and the accumulation of PE inside the cell in msbA mutants arises from it sticking to the lipid A that is not moved out of the cell, so the phenotype is not due to a PE transport defect.  This implies the existence of another transporter that moves phospholipids, but it has not been identified. So we wait for more definitive experiments.'//AMF	
MANptspp	D-mannose transport via PEP:Pyr PTS (periplasm)		man[p] + pep[c] --> man6p[c] + pyr[c]	Transport, Inner Membrane	Cytosol, Periplasm		Irreversible	Y	1912585	0		
LPLIPAL2A141	Lysophospholipase L2 (2-acylglycerophosphotidate, n-C14:1)		[c] : 2tdec7eg3p + h2o --> glyc3p + (2) h + ttdcea	Glycerophospholipid Metabolism	Cytosol	3.1.1.5	Irreversible	N	3242221	3	PMID: 3908447//characterizes the enzyme to act on 2-acyl glycerophosphoethanolamine and -choline, but will not act on diacylphospholipids.  Assumed toact on -glycerol and -OH.//The enzyme also catalyzes the transfer of an acyl group from a lysophospholipid to phosphatidylglycerol for the formation of acyl phosphatidylglycerol (shown to be a small component on the membrane).  These reactions were not added.//no specific mention of which side of the inner membrane the active site of the PldB enzyme is on.//AMF	
PLIPA2E180pp	Phospholipase A2 (phosphatidylethanolamine, n-C18:0) (periplasm)		[p] : h2o + pe180 --> 1agpe180 + h + ocdca	Glycerophospholipid Metabolism	Periplasm	3.1.1.4	Irreversible	N	2733847	2	PMID: 4946924 gives evidence for activity on pc, pe, pg, cardiolipin and this gene is hypothesized to be pldA by PMID: 14002//JLR////PMID: 2653433 characterizes pldA and states that although it can act as a phospholipase A1 or A2 or lysophospholipase L1 or L2 the enzyme will initially act as a phospholipase A1 in the Ecoli envelope where it is embeded in phopsholipids.  Also states a broad specificity.////From PMID: 11080680 ¿ Review on PldA//`The enzyme is strictly calcium dependent and displays a broad substrate specificity. Besides phospholipase A1 and A2 activity the enzyme also harbours lysophospholipase A1 and A2 activity, and mono- and diacylglyceride lipase activity. The minimal substrate requirements of the enzyme are a more or less polar head group esterified to an acyl chain of at least 14 carbon atoms.¿ ¿ enzyme assigned to act on n-C12 as well.////PldA was assigned to A2 activity as well (see TesA gene reaction)////Not sure which face of the membrane the active site of the enzyme lies.////AMF	
FA161ACPHi	fatty-acyl-ACP hydrolase		[c] : h2o + hdeACP --> ACP + h + hdcea	Cell Envelope Biosynthesis	Cytosol	3.1.2.14	Irreversible	N	3041925	3	PMID: 16107329//AMF	
RNTR3c	ribonucleoside-triphosphate reductase (CTP) (flavodoxin)		[c] : ctp + fldrd --> dctp + fldox + h2o	Nucleotide Salvage Pathway	Cytosol		Irreversible	N	2388628	3	NrdD can catalyze RNTR reactions by itself under aerobic conditions////NrdD has to complex with NrdG and Fpr under anaerobic conditions - NrdD and NrdG are known to be essential anaerobically////flavodoxin is assumed to be the donor in a similar organism and thus is used for E. coli//PMID: 10644700////fldA, fldB added to GPR since it participates in the reaction as a metabolite. fldA and fldB are treated as the same carrier in the reconstruction.  fldA is essential under aerobic and anaerobic, PMID: 10714981//AMF////outlined well in ecocyc//AMF	
MOAT2	3-deoxy-D-manno-octulosonic acid transferase		[c] : ckdo + kdolipid4 --> cmp + h + kdo2lipid4	Lipopolysaccharide Biosynthesis / Recycling	Cytosol		Irreversible	N	1450254	4	Core LPS biosynthesis//see PMID: 12045108//for review////see PMID: 11054112//for WaaA, WaaC and WaaF reactions ////ADP-D-mannose can also serve as a surrogate substrate for WaaC//	
MCTP2App	murein crosslinking transpeptidase 1A:(A2pm->D-ala) (periplasm)		[p] : murein5p5p5p --> (2) ala-D + murein5px4px4p	Murein Biosynthesis	Periplasm		Irreversible	N	2528550	3	MrcA and MrcB (best characeterized) are bifunctional transglycosylase and transpeptidase forming enzymes//PMID: 3906031//together they are lethal for a double deletion//PMID: 10542235////MrdA and FtsI are part of the cell cycle proteins and are predicted to be DD-transpeptidases//PMID: 10542235//Also, pbpC is thought to be a transglycolase only	
NTPP9	Nucleoside triphosphate pyrophosphorylase (itp)		[c] : h2o + itp --> h + imp + ppi	Nucleotide Salvage Pathway	Cytosol	3.6.1.19	Irreversible	N	2207381	4	RdgB//enzyme acts on ipt, ditp, and xtp to remove them from the nuclueotide pools//PMID: 12297000//PMID: 12791149//AMF////this enzyme is not YhgN	
AGMT	agmatinase		[c] : agm + h2o --> ptrc + urea	Arginine and Proline Metabolism	Cytosol	3.5.3.11	Irreversible	N	138658	0		
3HAD160	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0)	beta-hydroxyacyl-acyl carrier protein dehydratases	[c] : 3hpalmACP --> h2o + tpalm2eACP	Cell Envelope Biosynthesis	Cytosol	4.2.1.61	Irreversible	N	2616033	4	FabA and FabZ exhibited broad, overlapping chain length specificities. The FabZ dehydratase efficiently catalyzed the dehydration of short chain beta -hydroxyacyl-ACPs and long chain saturated and unsaturated beta -hydroxyacyl-ACPs. FabA was most active on intermediate chain length beta -hydroxyacyl-ACPs and also possessed significant activity toward both short and long chain saturated beta -hydroxyacyl-ACPs. Significantly, FabA was virtually inactive in the dehydration of long chain unsaturated beta -hydroxyacyl-ACP. The introduction of the double bond at the 10-carbon stage of fatty acid synthesis by FabA was only detected in the presence of beta -ketoacyl-ACP synthase I (FabB).//PMID: 8910376//AMF	
GLNTRS	Glutaminyl-tRNA synthetase		[c] : atp + gln-L + trnagln --> amp + glntrna + ppi	tRNA Charging	Cytosol	6.1.1.18	Irreversible	N	227775	4	Added to incorporate tRNA peptides into model	
RIBtex	ribose transport via diffusion (extracellular to periplasm)		rib-D[e] <==> rib-D[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	1916074		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
ICDHyr	isocitrate dehydrogenase (NADP)		[c] : icit + nadp <==> akg + co2 + nadph	Citric Acid Cycle	Cytosol	1.1.1.42	Reversible	N	135348	0		
ALAALAD	D-alanine-D-alanine dipeptidase		[c] : alaala + h2o --> (2) ala-D	Murein Recycling	Cytosol	3.4.17.14	Irreversible	N	2482458	4	characterized in PMID: 9751644 and//PMID: 10500118//AMF	
MAN1PT2	mannose-1-phosphate guanylyltransferase (GDP)	GDP mannose phosphorylase, GDP-mannose 1-phosphate guanylyltransferase, guanosine diphosphate-mannose 1-phosphate guanylyltransferase, guanosine diphosphomannose phosphorylase, mannose 1-phosphate (guanosine diphosphate) guanylyltransferase, mannose 1-phosphate guanylyltransferase	[c] : gdp + h + man1p --> gdpmann + pi	Cell Envelope Biosynthesis	Cytosol	2.7.7.22	Irreversible	N	1484731	4	Ref says the gene is well established	
AGM3Pt2pp	GlcNAc-anhMurNAc tripeptide transport in via proton symport (periplasm)		anhgm3p[p] + h[p] --> anhgm3p[c] + h[c]	Murein Recycling	Cytosol, Periplasm		Irreversible	Y	2328613	3	AmpG permease is a single-component permease dependent on the proton motive force - the exact stoich is still unknown, simpost was assumed////the only ß-N-acetylglucosaminidase in Escherichia coli is cytoplasmic which then makes it necessary to transport these inside////the disaccharide itself was readily transported and that the N-acetylmuramic acid moiety must be present in the 1,6-anhydro form - - other cmpds can be added////PMID: 12426329//AMF	
CMPtex	CMP transport via diffusion (extracellular to periplasm)		cmp[e] <==> cmp[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	2324805		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
MTHFC	methenyltetrahydrofolate cyclohydrolase		[c] : h2o + methf <==> 10fthf + h	Folate Metabolism	Cytosol	3.5.4.9	Reversible	N	1831622	0		
GLGC	glucose-1-phosphate adenylyltransferase		[c] : atp + g1p + h --> adpglc + ppi	Glycolysis/Gluconeogenesis	Cytosol	2.7.7.27	Irreversible	N	134283	0		
LPLIPAL1G120pp	Lysophospholipase L1 (2-acylglycerophosphoglycerol, n-C12:0) (periplasm)		[p] : 1agpg120 + h2o --> ddca + g3pg + h	Glycerophospholipid Metabolism	Periplasm	3.1.1.5	Irreversible	N	2734051	2	PMID: 10423542//Enzyme also has shown both protease I and thioesterase I activities, not sure of specificity of protease substrates and not sure of acyl-CoA compounds in the periplasm.//See also, PMID: 1864840//AMF//	
PEAMNOpp	Phenethylamine oxidase		[p] : h2o + o2 + peamn --> h2o2 + nh4 + pacald	Nitrogen Metabolism	Periplasm	1.4.3.6	Irreversible	N	2324142	4	phenylethylaminine can not be a sole substrate according to biolog data, which is contracting with PMID: 11729263 Growth of E. coli on PEA as the sole carbon and energy source induces////There would have to be a transport of the product into the cell if this reaction is in the cytoplasm. ////Downstream product processing is hypothesized in Ecocyc, but have not been worked out definatively.  This reaction was added to the periplasm, but is not utilized beyond that.	
SFGTHi	S-Formylglutathione hydralase		[c] : Sfglutth + h2o --> for + gthrd + h	Cofactor and Prosthetic Group Biosynthesis	Cytosol	3.1.2.12	Irreversible	N	2938025	4	FrmA has been shown to generate this product which needs to be degraded (see PMID: 1731906).  This is the gene next to that (b0355) and it a putuative enzyme.////later study: PMID: 16567800//Conclusion¿Thus, E. coli has two active S-formylglutathione hydrolases, inducible FrmB and constitutive YeiG. Both proteins are promiscuous//serine hydrolases capable of hydrolysis of S-formylglutathione, S-lactoylglutathione, and the model substrates (pNP-esters and naphthyl acetate).//AMF////If the reversible reaction is added to the network, the model can use formate as an electron sink for NADH converting it to formaldehyde (from glucose).  Formate is a known fermentation byrpoduct.	
ACKr	acetate kinase		[c] : ac + atp <==> actp + adp	Pyruvate Metabolism	Cytosol	2.7.2.1	Reversible	N	1438597	0		
HPPK2	6-hydroxymethyl-dihydropterin pyrophosphokinase	H4MPTS6	[c] : 6hmhpt + atp --> 6hmhptpp + amp + h	Cofactor and Prosthetic Group Biosynthesis	Cytosol	2.7.6.3	Irreversible	N	1447079	0	JLR- had to add 6hmhptpp to database, different then 2ahhmd (ketone vs. OH).  	
ENLIPAtex	phosphoethanolamine lipid A transport via vector (periplasm to extracellular)		enlipa[p] --> enlipa[e]	Lipopolysaccharide Biosynthesis / Recycling	Extra-organism, Periplasm		Irreversible	Y	2377025	1	this reaction is needed to have the LPS lipid A derivative presented to the outer membrane surface - both moved across the periplasm and flipped across the outer membrane////not sure on the method of transport////this paper talks about the possibility of the transport PMID: 15576375////AMF	
CLPNH180pp	cardiolipin hydrolase (periplasm, n-C18:0)	phospholipase D	[p] : clpn180 + h2o --> h + pa180 + pg180	Glycerophospholipid Metabolism	Periplasm		Irreversible	N	2706552	2	PMID: 360//characterizes phospholipase D activity in E. coli.  The gene responsible is not characterized and it is not known if the reaction takes place on the inner membrane or on outer membrane or both.////PMID: 10634942 states that neither cls nor ybhO have cardiolipin hydrolase activity//AMF	
PLIPA1A160pp	Phospholipase A1 (phosphatidate, n-C16:0) (periplasm)		[p] : h2o + pa160 --> 2hdecg3p + hdca	Glycerophospholipid Metabolism	Periplasm	3.1.1.32	Irreversible	N	3242188	3	PMID: 4946924 gives evidence for activity on pc, pe, pg, cardiolipin and this gene is hypothesized to be pldA by PMID: 14002//JLR////PMID: 2653433 characterizes pldA and states that although it can act as a phospholipase A1 or A2 or lysophospholipase L1 or L2 the enzyme will initially act as a phospholipase A1 in the Ecoli envelope where it is embeded in phopsholipids.  Also states a broad specificity.////From PMID: 11080680 ¿ Review on PldA//`The enzyme is strictly calcium dependent and displays a broad substrate specificity. Besides phospholipase A1 and A2 activity the enzyme also harbours lysophospholipase A1 and A2 activity, and mono- and diacylglyceride lipase activity. The minimal substrate requirements of the enzyme are a more or less polar head group esterified to an acyl chain of at least 14 carbon atoms.¿ ¿ enzyme assigned to act on n-C12 as well.////PldA was assigned to A2 activity as well (see TesA gene reaction)////Not sure which face of the membrane the active site of the enzyme lies.////AMF	
GLYt2pp	glycine transport in via proton symport (periplasm)		gly[p] + h[p] --> gly[c] + h[c]	Transport, Inner Membrane	Cytosol, Periplasm		Irreversible	Y	3241120	3	YeaV is a putative transporter and the general transport reaction for proteins of the BCCT family is: Substrate (out) + nH+ (out) ¿ Substrate (in) + nH+ (in).//(http://www.tcdb.org/tcdb/tcfamilybrowse.php?tcname=2.A.15)//Set to irreversible.//AMF////From PMID: 15221223//CycA mediates the uptake of L-alanine, D-alanine, glycine, D-serine, and Dcycloserine (Wargel et al. 1970; Cosloy 1973).....utilize H+ co-transport as the energy source (Swiss-Prot data base; http://www.expasy.org/sprot;//accession no. P39312). Together with fklB, cycA is thought to form the fklB-cycA operon, whose expression is regulated by the nitrogen assimilation control (Nac) protein//Set to be irreversible.//AMF	
PLIPA2A141pp	Phospholipase A2 (phosphatidate, n-C14:1) (periplasm)	lecithinase A;, phosphatidase;, phosphatidolipase;, phospholipase A, phospholipase A2;	[p] : h2o + pa141 --> 1tdec7eg3p + h + ttdcea	Glycerophospholipid Metabolism	Periplasm	3.1.1.4	Irreversible	N	2721541	2	PMID: 4946924 gives evidence for activity on pc, pe, pg, cardiolipin and this gene is hypothesized to be pldA by PMID: 14002//JLR////PMID: 2653433 characterizes pldA and states that although it can act as a phospholipase A1 or A2 or lysophospholipase L1 or L2 the enzyme will initially act as a phospholipase A1 in the Ecoli envelope where it is embeded in phopsholipids.  Also states a broad specificity.////From PMID: 11080680 ¿ Review on PldA//`The enzyme is strictly calcium dependent and displays a broad substrate specificity. Besides phospholipase A1 and A2 activity the enzyme also harbours lysophospholipase A1 and A2 activity, and mono- and diacylglyceride lipase activity. The minimal substrate requirements of the enzyme are a more or less polar head group esterified to an acyl chain of at least 14 carbon atoms.¿ ¿ enzyme assigned to act on n-C12 as well.////PldA was assigned to A2 activity as well (see TesA gene reaction)////Not sure which face of the membrane the active site of the enzyme lies.////AMF	
NTD12	5'-nucleotidase (dIMP)		[c] : dimp + h2o --> din + pi	Nucleotide Salvage Pathway	Cytosol	3.1.3.5	Irreversible	N	2220576	4	SurE//PMID: 15489502//no 3'-nmp assigned since not in model//E. coli SurE showed significant activity toward nucleoside 5'-or3'-monophosphates (Fig. 3A). The protein hydrolyzed both purine and pyrimidine ribo- and deoxyribonucleotides effectively and had a neutral pH optimum (pH 7.0¿7.2) (Fig. 3B). With all substrates, the protein showed saturation kinetics with high affinity to 3'-AMP, 5'-GMP, 5'-dGMP, 5'-AMP, and 3'-CMP.  The only non-nucleotide natural substrate hydrolyzed by the E. coli SurE was found to be polyphosphate.////YfbR is a Co2+-dependent 5'-nucleotidase with a strict specificity to deoxyribonucleotides. also, 4nphp////YjjG is an Mn2+-dependent 5'-nucleotidase specific to 5'-UMP, 5'-dUMP, and 5'-dTMP. also, 4nphp	
LALGP	L-alanyl-gamma-L-glutamate peptidase		[c] : LalaLglu + h2o --> ala-L + glu-L	Murein Recycling	Cytosol		Irreversible	N	2329507	4	PMID: 11747447//this enolase can act on a number of different dipeptide substrates, see citation for ref//AMF////nice figure in  PMID: 15901686	
PA181abcpp	phosphatidate transport via ABC system (n-C18:1, periplasm)		atp[c] + h2o[c] + pa181[c] --> adp[c] + h[c] + pa181[p] + pi[c]	Transport, Inner Membrane	Cytosol, Periplasm		Irreversible	Y	2706149	1	PMID: 15304478 suggests that MsbA facilitates the rapid translocation of some lipids from the cytoplasmic to the periplasmic side of the inner membrane in living cells.//no specific mention of://pa//pg//pgp//but PMID: 15890883 does mention that MsbA will transport://pe////personal communication (Charles Rock, Jan. 7 06): 'MsbA is an interesting issue.  It certainly transports the lipid A molecule.  In msbA mutants, PE also accumulates inside the cell//suggesting that PE is also transported by MsbA.  However, some scientists think this may not be the case and the accumulation of PE inside the cell in msbA mutants arises from it sticking to the lipid A that is not moved out of the cell, so the phenotype is not due to a PE transport defect.  This implies the existence of another transporter that moves phospholipids, but it has not been identified. So we wait for more definitive experiments.'//AMF	
CPGNUtpp	coprogen unloaded secretion		cpgn-un[c] + h[p] --> cpgn-un[p] + h[c]	Inorganic Ion Transport and Metabolism	Cytosol, Periplasm		Irreversible	Y	2391047	2	transport mechanism not know, but necessary - K-12 ecoli do not produce nor degrade aerobactin, just utilze Fe it sequesters.//may not use proton antiport - just put in system to approximate energy expense//MKA////transport mech unknown - proton antiport assumed for inner and outer membranes//AMF	
3OAR140	3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)	3-ketoacyl acyl carrier protein reductase;, 3-oxoacyl-[ACP]reductase, 3-oxoacyl-[acyl-carrier-protein] reductase;, NADPH-specific 3-oxoacyl-[acylcarrier protein]reductase;, beta-ketoacyl acyl carrier protein (ACP) reductase;, beta-ketoacyl reductase;, beta-ketoacyl thioester reductase;, beta-ketoacyl-ACP reductase;, beta-ketoacyl-[acyl-carrier protein](ACP) reductase;, beta-ketoacyl-acyl carrier protein reductase;	[c] : 3omrsACP + h + nadph <==> 3hmrsACP + nadp	Cell Envelope Biosynthesis	Cytosol	1.1.1.100	Reversible	N	2615963	4	not sure of reversibility//FabG acts on both saturated and unsaturated FA, long and short chain//AMF	
GLCURt2rpp	D-glucuronate transport via proton symport, reversible (periplasm)		glcur[p] + h[p] <==> glcur[c] + h[c]	Transport, Inner Membrane	Cytosol, Periplasm		Reversible	Y	1912310	4		
DHBS	2,3-dihydroxybenzoate adenylate synthase		[c] : 23dhb + atp + h --> 23dhba + ppi	Cofactor and Prosthetic Group Biosynthesis	Cytosol	2.7.7.58	Irreversible	N	2380287	3	EntE may be part of larger protein complex w/ EntB, D, F to generate enterobactin (enterochelin)    MKA////http://biocyc.org/ECOLI/new-image?type=PATHWAY&object=ENTBACSYN-PWY//AMF	
CYTDt2pp	cytidine transport in via proton symport (periplasm)		cytd[p] + h[p] --> cytd[c] + h[c]	Transport, Inner Membrane	Cytosol, Periplasm		Irreversible	Y	1912147	0		
MTRPOX	N-methyltryptophan oxidase		[c] : Nmtrp + h2o + o2 --> fald + h2o2 + trp-L	Glycine and Serine Metabolism	Cytosol	1.5.3.2	Irreversible	N	2326821	3	PMID: 11170472//AMF//enzyme proven, but physiological function has yet to be determined////there are more N-methyl amino acids that are substrates	
LPLIPAL2ATE120	Lysophospholipase L2 (acyltransferase, 2-acyl-glycerophosphoethanolamine, n-C12:0)		[c] : 2agpe120 + pg120 --> apg120 + g3pe	Glycerophospholipid Metabolism	Cytosol		Irreversible	N	2707941	3	PMID: 3908447//characterizes the enzyme to act on 2-acyl glycerophosphoethanolamine and -choline, but will not act on diacylphospholipids.  Assumed to act on -glycerol and -OH.//The enzyme also catalyzes the transfer of an acyl group from a lysophospholipid to phosphatidylglycerol for the formation of acyl phosphatidylglycerol (shown to be a small component on the membrane).//no specific mention of which side of the inner membrane the active site of the PldB enzyme is on.//AMF	
MGSA	methylglyoxal synthase		[c] : dhap --> mthgxl + pi	Methylglyoxal Metabolism	Cytosol	4.2.3.3	Irreversible	N	134455	4		
DCAtex	Decanoate transport via diffusion (extracellular to periplasm)		dca[e] <==> dca[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	1915140		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
GLCRD	glucarate dehydratase	D-glucarate dehydratase	[c] : glcr --> 5dh4dglc + h2o	Alternate Carbon Metabolism	Cytosol	4.2.1.40	Irreversible	N	1472160	4	YgcY is putative	
ILEtex	L-isoleucine transport via diffusion (extracellular to periplasm)		ile-L[e] <==> ile-L[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	1915948		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
ARBtex	L-arabinose transport via diffusion (extracellular to periplasm)		arab-L[e] <==> arab-L[p]	Transport, Outer Membrane Porin	Extra-organism, Periplasm		Reversible	Y	1915086		molecule less than 600 Da, assumed passive diffusion through outer membrane porin.  See PMID: 14665678 for porin review.  AMF	
FALDH2	formaldehyde dehydrogenase		[c] : hmgth + nad <==> Sfglutth + h + nadh	Cofactor and Prosthetic Group Biosynthesis	Cytosol		Reversible	N	2325429	4	AMF//PMID: 1731906	
ACANTHAT	acetyl-CoA:anthranilate acetyltransferase		[c] : accoa + anth --> acanth + coa	Tyrosine, Tryptophan, and Phenylalanine Metabolism	Cytosol	2.3.1.118	Irreversible	N	2387331	3	from PMID: 10806332//AMF//not sure of physiological role, can also act on//4abz and others//	
