H2O,C00001,H2O2,C00027,0.75
o-Toluidine,C14403,o-Tolidine,C14443,0.818181818182
N-Phenyl-1-naphthylamine,C14405,N-Phenyl-2-naphthylamine,C14694,0.875
2-Chloronitrobenzene,C14407,4-Chloronitrobenzene,C14456,0.9
"1,2,3-Trichlorobenzene",C14408,"1,2,3,4-Tetrachlorobenzene",C18236,0.807692307692
Phenbenzamine hydrochloride,C14410,Phenmetrazine hydrochloride,C07433,0.814814814815
Phenbenzamine hydrochloride,C14410,Butenafine hydrochloride,C12490,0.740740740741
Phenbenzamine hydrochloride,C14410,p-Aminobenzamidine dihydrochloride,C11628,0.735294117647
Phenbenzamine hydrochloride,C14410,Amantadine hydrochloride,C07939,0.703703703704
Phenbenzamine hydrochloride,C14410,Imipramine hydrochloride,C07982,0.703703703704
Phenbenzamine hydrochloride,C14410,Rimantadine hydrochloride,C08094,0.703703703704
Phenbenzamine hydrochloride,C14410,Hydroxylamine hydrochloride,C11598,0.703703703704
Phenbenzamine hydrochloride,C14410,Benexate hydrochloride,C13182,0.703703703704
4-Toluenesulfonamide,C14412,2-Thiophenesulfonamide,C14764,0.727272727273
2-Aminoanthracene,C14417,2-Aminoanthraquinone,C14444,0.7
3-Nitrophenol,C14418,3-Chlorophenol,C14270,0.714285714286
m-Hydroxynitrobenzene,C14418,4-Chloronitrobenzene,C14456,0.714285714286
"2,4-Dichloroaniline",C14419,"2,5-Dichloroaniline",C14712,0.894736842105
"2,4-Dichloroaniline",C14419,4-Chloroaniline,C14450,0.736842105263
MPP,C14420,DMPP,C07488,0.75
1-Nitropyrene,C14421,"1,8-Dinitropyrene",C14423,0.764705882353
1-Nitropyrene,C14421,"1,6-Dinitropyrene",C14424,0.764705882353
N-Nitrosodiethylamine,C14422,N-Nitrosodimethylamine,C14704,0.863636363636
N-Nitrosodiethylamine,C14422,N-Nitrosodiphenylamine,C14742,0.727272727273
"1,8-Dinitropyrene",C14423,"1,6-Dinitropyrene",C14424,0.882352941176
EPN,C14434,EPNP,C04274,0.75
Tris(2-chloroethyl)phosphate,C14445,Tris(butoxyethyl)phosphate,C14446,0.714285714286
2-Picoline,C14447,Citicoline,C00307,0.7
Glyoxal,C14448,Glyoxalate,C00048,0.7
Glyoxal,C14448,Glyoxaline,C01589,0.7
1-Amino-4-chlorobenzene,C14450,"1-Amino-2,5-dichlorobenzene",C14712,0.777777777778
Morpholine,C14452,Morphine,C01516,0.7
4-Bromophenol,C14453,4-Chlorophenol,C02124,0.714285714286
"2,4,6-Tribromophenol",C14454,"2,4-Dibromophenol",C14521,0.8
"2,4,6-Tribromophenol",C14454,"2,6-Dibromophenol",C16247,0.8
"4',5,7-Trihydroxyisoflavan-4-one",C14458,"4',5,7-Trihydroxyflavone",C01477,0.71875
2-Hydroxybenzo[a]pyrene,C14459,12-Hydroxybenzo[a]pyrene,C14563,0.958333333333
2-Hydroxybenzo[a]pyrene,C14459,3-Hydroxybenzo[a]pyrene,C14461,0.913043478261
2-Hydroxybenzo[a]pyrene,C14459,9-Hydroxybenzo[a]pyrene,C14556,0.913043478261
2-Hydroxybenzo[a]pyrene,C14459,8-Hydroxybenzo[a]pyrene,C14557,0.913043478261
2-Hydroxybenzo[a]pyrene,C14459,7-Hydroxybenzo[a]pyrene,C14558,0.913043478261
2-Hydroxybenzo[a]pyrene,C14459,5-Hydroxybenzo[a]pyrene,C14559,0.913043478261
2-Hydroxybenzo[a]pyrene,C14459,4-Hydroxybenzo[a]pyrene,C14560,0.913043478261
2-Hydroxybenzo[a]pyrene,C14459,6-Hydroxybenzo[a]pyrene,C14576,0.913043478261
2-Hydroxybenzo[a]pyrene,C14459,11-Hydroxybenzo[a]pyrene,C14564,0.875
2-Hydroxyfluorene,C14460,2-Hydroxytoluene,C01542,0.705882352941
3-Hydroxybenzo[a]pyrene,C14461,9-Hydroxybenzo[a]pyrene,C14556,0.913043478261
3-Hydroxybenzo[a]pyrene,C14461,8-Hydroxybenzo[a]pyrene,C14557,0.913043478261
3-Hydroxybenzo[a]pyrene,C14461,7-Hydroxybenzo[a]pyrene,C14558,0.913043478261
3-Hydroxybenzo[a]pyrene,C14461,5-Hydroxybenzo[a]pyrene,C14559,0.913043478261
3-Hydroxybenzo[a]pyrene,C14461,4-Hydroxybenzo[a]pyrene,C14560,0.913043478261
3-Hydroxybenzo[a]pyrene,C14461,6-Hydroxybenzo[a]pyrene,C14576,0.913043478261
3-Hydroxybenzo[a]pyrene,C14461,12-Hydroxybenzo[a]pyrene,C14563,0.875
3-Hydroxybenzo[a]pyrene,C14461,11-Hydroxybenzo[a]pyrene,C14564,0.875
"3,4-Dichlorophenol",C14462,3-Chlorophenol,C14270,0.722222222222
4-n-Butylphenol,C14464,4-n-Pentylphenol,C14466,0.8125
4-n-Butylphenol,C14464,4-n-Heptylphenol,C14698,0.8125
4-n-Butylphenol,C14464,4-n-Hexylphenol,C14465,0.8
4-n-Butylphenol,C14464,4-n-Nonylphenol,C14550,0.8
4-n-Hexylphenol,C14465,4-n-Pentylphenol,C14466,0.8125
4-n-Hexylphenol,C14465,4-n-Heptylphenol,C14698,0.8125
4-n-Hexylphenol,C14465,4-n-Nonylphenol,C14550,0.8
4-n-Hexylphenol,C14465,2-Phenylphenol,C02499,0.733333333333
4-n-Hexylphenol,C14465,4-Ethylphenol,C13637,0.733333333333
4-n-Hexylphenol,C14465,4-t-Octylphenol,C14205,0.733333333333
4-n-Pentylphenol,C14466,4-n-Heptylphenol,C14698,0.875
4-n-Pentylphenol,C14466,4-Isopentylphenol,C14697,0.823529411765
4-n-Pentylphenol,C14466,4-n-Nonylphenol,C14550,0.8125
"cis-1,2-Diphenylcyclobutane",C14467,"trans-1,2-Diphenylcyclobutane",C15449,0.827586206897
Dipropyl phthalate,C14469,Diisopropyl phthalate,C14468,0.809523809524
Dipropyl phthalate,C14469,Dioctyl phthalate,C03690,0.722222222222
Dipropyl phthalate,C14469,Dimethyl phthalate,C11233,0.722222222222
Dipropyl phthalate,C14469,Diethyl phthalate,C14175,0.722222222222
Dipropyl phthalate,C14469,Dihexyl phthalate,C14504,0.722222222222
Dipropyl phthalate,C14469,Didecyl phthalate,C14505,0.722222222222
"2,2',4',5,5'-Pentachloro-4-biphenylol",C14471,"2,2',3,4',5,5'-Hexachloro-4-biphenylol",C14730,0.868421052632
"2,2',4',5,5'-Pentachloro-4-biphenylol",C14471,"2,2',3,6,6'-Pentachloro-4-biphenylol",C14756,0.864864864865
"2,2',4',5,5'-Pentachloro-4-biphenylol",C14471,"2,2',3,3',4',5,5'-Heptachloro-4-biphenylol",C14726,0.833333333333
"4-Hydroxy-2,2',4',5,5'-pentachlorobiphenyl",C14471,"4-Hydroxy-2',3,3',5',6'-pentachlorobiphenyl",C14379,0.837209302326
"4-Hydroxy-2,2',4',5,5'-pentachlorobiphenyl",C14471,"4-Hydroxy-2',3,3',4',6'-pentachlorobiphenyl",C14378,0.813953488372
"4',5,6,7-Tetramethoxyflavone",C14472,"4',5,6,7-Tetramethoxyflavanone",C15118,0.9
2-Ethyl-3-(4-hydroxybenzoyl)benzofuran,C14474,2-Butyl-3-(4-hydroxybenzoyl)benzofuran,C15049,0.921052631579
2-Ethyl-3-(4-hydroxybenzoyl)benzofuran,C14474,2-Isopropyl-3-(4-hydroxybenzoyl)benzofuran,C15191,0.833333333333
Bolasterone,C14475,Cyasterone,C08816,0.727272727273
"7alpha,17alpha-Dimethyltestosterone",C14475,"6alpha,17alpha-Dimethyltestosterone",C15108,0.942857142857
"7alpha,17alpha-Dimethyltestosterone",C14475,"2alpha,17-Dimethyltestosterone",C15339,0.8
"7alpha,17alpha-Dimethyltestosterone",C14475,7alpha-Hydroxy-17alpha-methyltestosterone,C14891,0.731707317073
"7alpha,17alpha-Dimethyltestosterone",C14475,4-Chloro-17alpha-methyltestosterone,C15358,0.714285714286
"7alpha,17alpha-Dimethyltestosterone",C14475,"1-Dehydro-7alpha,17-dimethyltestosterone",C15402,0.7
"17beta-Hydroxy-7alpha,17-dimethylandrost-4-en-3-one",C14475,"11beta,17beta-Dihydroxy-6alpha,17-dimethylandrost-4-en-3-one",C15011,0.833333333333
"17beta-Hydroxy-7alpha,17-dimethylandrost-4-en-3-one",C14475,"11alpha,17beta-Dihydroxy-2alpha,17-dimethylandrost-4-en-3-one",C15022,0.819672131148
"17beta-Hydroxy-7alpha,17-dimethylandrost-4-en-3-one",C14475,"11beta,17beta-Dihydroxy-4,17-dimethylandrost-4-en-3-one",C15401,0.727272727273
"17alpha-Hydroxypregn-4-ene-3,11,20-trione",C14478,"9alpha-Bromopregn-4-ene-3,11,20-trione",C14647,0.829268292683
"17alpha-Hydroxypregn-4-ene-3,11,20-trione",C14478,"6alpha-Fluoropregn-4-ene-3,11,20-trione",C15327,0.80487804878
"17alpha-Hydroxypregn-4-ene-3,11,20-trione",C14478,"6alpha-Methylpregn-4-ene-3,11,20-trione",C14632,0.780487804878
"17alpha-Hydroxypregn-4-ene-3,11,20-trione",C14478,"2alpha-Methylpregn-4-ene-3,11,20-trione",C15301,0.780487804878
"17alpha-Hydroxypregn-4-ene-3,11,20-trione",C14478,"21-Acetoxy-17alpha-hydroxypregna-1,4-diene-3,11,20-trione",C14668,0.719298245614
1-Hydroxy-2-acetamidofluorene,C14481,7-Hydroxy-2-acetamidofluorene,C14633,0.931034482759
1-Hydroxy-2-acetamidofluorene,C14481,3-Hydroxy-2-acetamidofluorene,C14656,0.931034482759
1-Hydroxy-2-acetamidofluorene,C14481,5-Hydroxy-2-acetamidofluorene,C14678,0.931034482759
9-Fluoroprednisolone,C14484,6alpha-Fluoroprednisolone,C14618,0.72
Ethisterone,C14487,Dimethisterone,C07628,0.785714285714
17alpha-Ethynyl-17beta-hydroxyandrost-4-en-3-one,C14487,2alpha-Fluoro-17beta-hydroxyandrost-4-en-3-one,C15276,0.8125
17alpha-Ethynyl-17beta-hydroxyandrost-4-en-3-one,C14487,16beta-Chloro-17beta-hydroxyandrost-4-en-3-one,C15004,0.770833333333
17alpha-Ethynyl-17beta-hydroxyandrost-4-en-3-one,C14487,"14alpha,17beta-Dihydroxyandrost-4-en-3-one",C14627,0.75
17alpha-Ethynyl-17beta-hydroxyandrost-4-en-3-one,C14487,"15alpha,17beta-Dihydroxyandrost-4-en-3-one",C14649,0.75
17alpha-Ethynyl-17beta-hydroxyandrost-4-en-3-one,C14487,19-Chloro-17beta-hydroxyandrost-4-en-3-one,C15024,0.75
17alpha-Ethynyl-17beta-hydroxyandrost-4-en-3-one,C14487,16alpha-Fluoro-17alpha-hydroxyandrost-4-en-3-one,C15074,0.75
17alpha-Ethynyl-17beta-hydroxyandrost-4-en-3-one,C14487,"11alpha,17beta-Dihydroxyandrost-4-en-3-one",C15306,0.75
17alpha-Ethynyl-17beta-hydroxyandrost-4-en-3-one,C14487,6-(Dibromomethylene)-17beta-hydroxyandrost-4-en-3-one,C15352,0.716981132075
21-Fluoroprogesterone,C14488,4-Chloroprogesterone,C14676,0.761904761905
21-Fluoroprogesterone,C14488,11-Dehydroprogesterone,C14646,0.727272727273
21-Fluoroprogesterone,C14488,6alpha-Fluoroprogesterone,C15127,0.72
21-Fluoroprogesterone,C14488,19-Norprogesterone,C14489,0.714285714286
21-Fluoroprogesterone,C14488,1-Dehydroprogesterone,C14677,0.714285714286
21-Fluoroprogesterone,C14488,A-Norprogesterone,C15263,0.714285714286
"21-Fluoropregn-4-ene-3,20-dione",C14488,"21-Acetoxypregn-4-ene-3,20-dione",C14554,0.8125
19-Norprogesterone,C14489,A-Norprogesterone,C15263,0.833333333333
19-Norprogesterone,C14489,4-Chloroprogesterone,C14676,0.7
"19-Norpregn-4-ene-3,20-dione",C14489,"21-Acetoxypregn-4-ene-3,20-dione",C14554,0.75
"19-Norpregn-4-ene-3,20-dione",C14489,"6beta,19-Epoxypregn-4-ene-3,20-dione",C15130,0.722222222222
"19-Norpregn-4-ene-3,20-dione",C14489,"4,4-Difluoropregn-5-ene-3,20-dione",C15152,0.705882352941
Stenbolone,C14490,Trenbolone,C14261,0.8
17beta-Hydroxy-2-methyl-5alpha-androst-1-en-3-one,C14490,"17beta-Hydroxy-2,17-dimethyl-5alpha-androst-1-en-3-one",C15012,0.888888888889
17beta-Hydroxy-2-methyl-5alpha-androst-1-en-3-one,C14490,17beta-Hydroxy-5alpha-androst-1-en-3-one,C15377,0.795918367347
17beta-Hydroxy-2-methyl-5alpha-androst-1-en-3-one,C14490,17beta-Hydroxy-4-oxa-5alpha-androst-1-en-3-one acetate,C15068,0.703703703704
17alpha-Methyl-19-nortestosterone,C14491,"2alpha,17-Dimethyl-19-nortestosterone",C15259,0.810810810811
Ulifloxacin,C14492,Ofloxacin,C07321,0.727272727273
4-Chloroacetanilide,C14494,o-Chloroacetanilide,C14619,0.894736842105
Estrololactone,C14496,Testolactone,C02197,0.714285714286
"3-Hydroxy-D-homo-17a-oxaestra-1,3,5(10)-trien-17-one",C14496,"3-Hydroxy-2-nitroestra-1,3,5(10)-trien-17-one",C15018,0.75
"3-Hydroxy-D-homo-17a-oxaestra-1,3,5(10)-trien-17-one",C14496,"3-Hydroxy-1-methylestra-1,3,5(10)-trien-17-one",C15323,0.75
"3-Hydroxy-D-homo-17a-oxaestra-1,3,5(10)-trien-17-one",C14496,"3-Hydroxy-4-nitroestra-1,3,5(10)-trien-17-one",C15362,0.75
6beta-Hydroxytestosterone,C14497,6beta-Hydroxytestosterone diacetate,C15284,0.714285714286
6beta-Hydroxytestosterone,C14497,11beta-Hydroxytestosterone,C18075,0.884615384615
6beta-Hydroxytestosterone,C14497,16alpha-Hydroxytestosterone,C14600,0.777777777778
6beta-Hydroxytestosterone,C14497,14-Hydroxytestosterone,C14627,0.76
6beta-Hydroxytestosterone,C14497,15alpha-Hydroxytestosterone,C14649,0.740740740741
6beta-Hydroxytestosterone,C14497,11alpha-Hydroxytestosterone,C15306,0.740740740741
"6beta,17beta-Dihydroxyandrost-4-en-3-one",C14497,"6beta,19-Epoxy-17beta-hydroxyandrost-4-en-3-one",C15072,0.765957446809
"6beta,17beta-Dihydroxyandrost-4-en-3-one",C14497,16beta-Chloro-17beta-hydroxyandrost-4-en-3-one,C15004,0.760869565217
"6beta,17beta-Dihydroxyandrost-4-en-3-one",C14497,19-Chloro-17beta-hydroxyandrost-4-en-3-one,C15024,0.714285714286
"6beta,17beta-Dihydroxyandrost-4-en-3-one",C14497,"16beta,17beta-Dihydroxy-16-methylestr-4-en-3-one",C15144,0.708333333333
Di-n-hexyl phthalate,C14504,Di-n-heptyl phthalate,C14575,0.857142857143
Di-n-hexyl phthalate,C14504,Di-n-decyl phthalate,C14505,0.85
Di-n-hexyl phthalate,C14504,Dicyclohexyl phthalate,C14529,0.727272727273
Di-n-hexyl phthalate,C14504,Dimethyl phthalate,C11233,0.7
Di-n-decyl phthalate,C14505,Di-n-heptyl phthalate,C14575,0.809523809524
Di-n-decyl phthalate,C14505,Diisodecyl phthalate,C14578,0.8
Didecyl phthalate,C14505,Dimethyl phthalate,C11233,0.777777777778
"1,3,5-Trimethylbenzene",C14508,"1,2,3-Trimethylbenzene",C14518,0.863636363636
"1,3,5-Trimethylbenzene",C14508,"1,2,4-Trimethylbenzene",C14533,0.863636363636
"1,3,5-Trimethylbenzene",C14508,"1,2,4,5-Tetramethylbenzene",C14534,0.769230769231
"1,3,5-Trimethylbenzene",C14508,"1,4-Diethylbenzene",C14583,0.727272727273
Tridecyl alcohol,C14509,Coniferyl alcohol,C00590,0.705882352941
Benzofuran,C14512,Dibenzofuran,C07729,0.833333333333
Kojic acid,C14516,Formic acid,C00058,0.727272727273
Pretilachlor,C14517,Metolachlor,C10953,0.75
"1,2,3-Trimethylbenzene",C14518,"1,2,4-Trimethylbenzene",C14533,0.909090909091
"1,2,3-Trimethylbenzene",C14518,"1,2,4,5-Tetramethylbenzene",C14534,0.769230769231
"1,2,3-Trimethylbenzene",C14518,"1,4-Diethylbenzene",C14583,0.727272727273
"2,4-Dibromophenol",C14521,"2,6-Dibromophenol",C16247,0.882352941176
"2,4-Dibromophenol",C14521,4-Bromophenol,C14453,0.705882352941
"2,4-Dibromophenol",C14521,2-Bromophenol,C14841,0.705882352941
3-Ethyltoluene,C14522,o-Methyltoluene,C07212,0.866666666667
3-Ethyltoluene,C14522,2-Ethyltoluene,C14572,0.857142857143
Esprocarb,C14526,Aprocarb,C14334,0.777777777778
Azomycin,C14531,Viomycin,C01540,0.75
"1,2,4-Trimethylbenzene",C14533,"1,2,4,5-Tetramethylbenzene",C14534,0.807692307692
"1,2,4-Trimethylbenzene",C14533,"1,4-Diethylbenzene",C14583,0.772727272727
Trimethylolpropane triacrylate,C14537,Trimethylolpropane trimethacrylate,C14538,0.852941176471
Rifamycin S,C14540,Rifamycin Z,C14723,0.818181818182
(R)-4'-Deoxyindenestrol,C14541,(S)-4'-Deoxyindenestrol,C14542,0.913043478261
(R)-4'-Deoxyindenestrol,C14541,(R)-5-Deoxyindenestrol,C14543,0.826086956522
(R)-4'-Deoxyindenestrol,C14541,(S)-5-Deoxyindenestrol,C14544,0.826086956522
(S)-4'-Deoxyindenestrol,C14542,(R)-5-Deoxyindenestrol,C14543,0.826086956522
(S)-4'-Deoxyindenestrol,C14542,(S)-5-Deoxyindenestrol,C14544,0.826086956522
(R)-5-Deoxyindenestrol,C14543,(S)-5-Deoxyindenestrol,C14544,0.909090909091
(S)-Indenestrol A,C14545,(S)-Indenestrol B,C14547,0.823529411765
(R)-Indenestrol A,C14546,(R)-Indenestrol B,C14548,0.823529411765
4-n-Nonylphenol,C14550,4-n-Heptylphenol,C14698,0.75
4-n-Nonylphenol,C14550,4-t-Octylphenol,C14205,0.733333333333
4-Nonylphenol,C14550,4-Ethylphenol,C13637,0.769230769231
p-Nonylphenol,C14550,p-Isoamylphenol,C14697,0.733333333333
p-Nonylphenol,C14550,2-Phenylphenol,C02499,0.714285714286
"3alpha-Hydroxy-5beta-androstane-11,17-dione",C14552,"3alpha-Hydroxy-5alpha-androstane-11,17-dione",C14671,0.886363636364
"3alpha,11beta-Dihydroxy-5beta-androstane-17-one",C14553,"3alpha,11beta-Dihydroxy-5alpha-androstane-17-one",C14606,0.895833333333
Deoxycorticosterone acetate,C14554,"16,17-Epoxydeoxycorticosterone acetate",C14651,0.710526315789
"21-Acetoxypregn-4-ene-3,20-dione",C14554,"4-Chloropregn-4-ene-3,20-dione",C14676,0.75
"21-Acetoxypregn-4-ene-3,20-dione",C14554,"2alpha-Methylpregn-4-ene-3,20-dione",C15116,0.742857142857
"21-Acetoxypregn-4-ene-3,20-dione",C14554,"6beta,19-Epoxypregn-4-ene-3,20-dione",C15130,0.722222222222
"21-Acetoxypregn-4-ene-3,20-dione",C14554,"6alpha-Methylpregn-4-ene-3,20-dione",C14586,0.714285714286
"21-Acetoxypregn-4-ene-3,20-dione",C14554,"16beta-Methylpregn-4-ene-3,20-dione",C15265,0.714285714286
"21-Acetoxypregn-4-ene-3,20-dione",C14554,"11beta,12beta-Epoxypregn-4-ene-3,20-dione",C15187,0.707317073171
"11alpha,17beta-Dihydroxy-17-methylandrost-4-en-3-one",C14555,"11beta,17beta-Dihydroxy-17-methylandrost-4-en-3-one",C14683,0.903846153846
"11alpha,17beta-Dihydroxy-17-methylandrost-4-en-3-one",C14555,"11alpha,17beta-Dihydroxy-17alpha-methylandrosta-1,4-dien-3-one",C14887,0.822580645161
"11alpha,17beta-Dihydroxy-17-methylandrost-4-en-3-one",C14555,"9-Chloro-11beta,17beta-dihydroxy-17-methylandrost-4-en-3-one",C15400,0.783333333333
"11alpha,17beta-Dihydroxy-17-methylandrost-4-en-3-one",C14555,"11alpha,17beta-Dihydroxy-1,4-androstadien-3-one",C15103,0.769230769231
"11alpha,17beta-Dihydroxy-17-methylandrost-4-en-3-one",C14555,"9beta,11beta-Epoxy-17beta-hydroxy-17-methylandrost-4-en-3-one",C15192,0.72131147541
11alpha-Hydroxy-17alpha-methyltestosterone,C14555,7alpha-Hydroxy-17alpha-methyltestosterone,C14891,0.928571428571
11alpha-Hydroxy-17alpha-methyltestosterone,C14555,11beta-Hydroxy-12alpha-methyltestosterone,C15434,0.857142857143
11alpha-Hydroxy-17alpha-methyltestosterone,C14555,4-Hydroxy-17alpha-methyltestosterone,C14665,0.809523809524
11alpha-Hydroxy-17alpha-methyltestosterone,C14555,"4,5alpha-Dihydro-4alpha-methyltestosterone",C15252,0.785714285714
11alpha-Hydroxy-17alpha-methyltestosterone,C14555,1-Dehydro-7alpha-methyltestosterone,C15307,0.761904761905
11alpha-Hydroxy-17alpha-methyltestosterone,C14555,4-Chloro-17alpha-methyltestosterone,C15358,0.714285714286
9-Hydroxybenzo[a]pyrene,C14556,8-Hydroxybenzo[a]pyrene,C14557,0.913043478261
9-Hydroxybenzo[a]pyrene,C14556,7-Hydroxybenzo[a]pyrene,C14558,0.913043478261
9-Hydroxybenzo[a]pyrene,C14556,5-Hydroxybenzo[a]pyrene,C14559,0.913043478261
9-Hydroxybenzo[a]pyrene,C14556,4-Hydroxybenzo[a]pyrene,C14560,0.913043478261
9-Hydroxybenzo[a]pyrene,C14556,6-Hydroxybenzo[a]pyrene,C14576,0.913043478261
8-Hydroxybenzo[a]pyrene,C14557,7-Hydroxybenzo[a]pyrene,C14558,0.913043478261
8-Hydroxybenzo[a]pyrene,C14557,5-Hydroxybenzo[a]pyrene,C14559,0.913043478261
8-Hydroxybenzo[a]pyrene,C14557,4-Hydroxybenzo[a]pyrene,C14560,0.913043478261
8-Hydroxybenzo[a]pyrene,C14557,6-Hydroxybenzo[a]pyrene,C14576,0.913043478261
8-Hydroxybenzo[a]pyrene,C14557,12-Hydroxybenzo[a]pyrene,C14563,0.875
8-Hydroxybenzo[a]pyrene,C14557,11-Hydroxybenzo[a]pyrene,C14564,0.875
7-Hydroxybenzo[a]pyrene,C14558,5-Hydroxybenzo[a]pyrene,C14559,0.913043478261
7-Hydroxybenzo[a]pyrene,C14558,4-Hydroxybenzo[a]pyrene,C14560,0.913043478261
7-Hydroxybenzo[a]pyrene,C14558,6-Hydroxybenzo[a]pyrene,C14576,0.913043478261
7-Hydroxybenzo[a]pyrene,C14558,12-Hydroxybenzo[a]pyrene,C14563,0.875
7-Hydroxybenzo[a]pyrene,C14558,11-Hydroxybenzo[a]pyrene,C14564,0.875
5-Hydroxybenzo[a]pyrene,C14559,4-Hydroxybenzo[a]pyrene,C14560,0.913043478261
5-Hydroxybenzo[a]pyrene,C14559,6-Hydroxybenzo[a]pyrene,C14576,0.913043478261
5-Hydroxybenzo[a]pyrene,C14559,12-Hydroxybenzo[a]pyrene,C14563,0.875
5-Hydroxybenzo[a]pyrene,C14559,11-Hydroxybenzo[a]pyrene,C14564,0.875
4-Hydroxybenzo[a]pyrene,C14560,6-Hydroxybenzo[a]pyrene,C14576,0.913043478261
4-Hydroxybenzo[a]pyrene,C14560,12-Hydroxybenzo[a]pyrene,C14563,0.875
4-Hydroxybenzo[a]pyrene,C14560,11-Hydroxybenzo[a]pyrene,C14564,0.875
12-Hydroxybenzo[a]pyrene,C14563,11-Hydroxybenzo[a]pyrene,C14564,0.916666666667
12-Hydroxybenzo[a]pyrene,C14563,10-Hydroxybenzo[a]pyrene,C14565,0.916666666667
12-Hydroxybenzo[a]pyrene,C14563,9-Hydroxybenzo[a]pyrene,C14556,0.875
11-Hydroxybenzo[a]pyrene,C14564,10-Hydroxybenzo[a]pyrene,C14565,0.916666666667
11-Hydroxybenzo[a]pyrene,C14564,9-Hydroxybenzo[a]pyrene,C14556,0.875
10-Hydroxybenzo[a]pyrene,C14565,2-Hydroxybenzo[a]pyrene,C14459,0.875
10-Hydroxybenzo[a]pyrene,C14565,3-Hydroxybenzo[a]pyrene,C14461,0.875
10-Hydroxybenzo[a]pyrene,C14565,9-Hydroxybenzo[a]pyrene,C14556,0.875
10-Hydroxybenzo[a]pyrene,C14565,8-Hydroxybenzo[a]pyrene,C14557,0.875
10-Hydroxybenzo[a]pyrene,C14565,7-Hydroxybenzo[a]pyrene,C14558,0.875
10-Hydroxybenzo[a]pyrene,C14565,5-Hydroxybenzo[a]pyrene,C14559,0.875
10-Hydroxybenzo[a]pyrene,C14565,4-Hydroxybenzo[a]pyrene,C14560,0.875
Diethyl hexanedioate,C14566,Dimethyl hexanedioate,C14570,0.904761904762
"4,4'-Thiobiphenyl",C14569,"4,4'-Dichlorobiphenyl",C14248,0.714285714286
"3,3',4,4',5-Pentachlorobiphenyl",C14573,"2,3',4,4',5-Pentachlorobiphenyl",C18118,0.935483870968
"3,3',4,4',5-Pentachlorobiphenyl",C14573,"2,3',4,4',5'-Pentachlorobiphenyl",C18119,0.90625
"3,3',4,4',5-Pentachlorobiphenyl",C14573,"2,3,4,4',5-Pentachlorobiphenyl",C18117,0.903225806452
"3,3',4,4',5-Pentachlorobiphenyl",C14573,"2,3,4,3',4'-Pentachlorobiphenyl",C18116,0.806451612903
"3,3',4,4',5-Pentachlorobiphenyl",C14573,"2,3,3',4,4',5,5'-Heptachlorobiphenyl",C18123,0.805555555556
6-Hydroxybenzo[a]pyrene,C14576,12-Hydroxybenzo[a]pyrene,C14563,0.875
6-Hydroxybenzo[a]pyrene,C14576,11-Hydroxybenzo[a]pyrene,C14564,0.875
Diisooctyl phthalate,C14577,Diisobutyl phthalate,C15205,0.85
Diisooctyl phthalate,C14577,Diisodecyl phthalate,C14578,0.8
Diisooctyl phthalate,C14577,Diisononyl phthalate,C15221,0.8
Diisooctyl phthalate,C14577,Diisopropyl phthalate,C14468,0.761904761905
Diisooctyl phthalate,C14577,Dibutyl phthalate,C14214,0.7
Diisodecyl phthalate,C14578,Diisobutyl phthalate,C15205,0.8
Diisodecyl phthalate,C14578,Diisononyl phthalate,C15221,0.8
Diisodecyl phthalate,C14578,Diisopropyl phthalate,C14468,0.761904761905
Diisodecyl phthalate,C14578,Dioctyl phthalate,C03690,0.7
Diisodecyl phthalate,C14578,Dipropyl phthalate,C14469,0.7
Diisodecyl phthalate,C14578,Di-n-hexyl phthalate,C14504,0.7
"2,4-Dimethylphenol",C14582,4-Methylphenol,C01468,0.722222222222
6alpha-Methylprogesterone,C14586,2alpha-Methylprogesterone,C15116,0.92
6alpha-Methylprogesterone,C14586,7alpha-Methylprogesterone,C15299,0.92
6alpha-Methylprogesterone,C14586,6alpha-Methyltestosterone,C15184,0.76
6alpha-Methylprogesterone,C14586,16beta-Methylprogesterone,C15265,0.76
6alpha-Methylprogesterone,C14586,6alpha-Methyl-11-oxoprogesterone,C14632,0.75
"6alpha-Methylpregn-4-ene-3,20-dione",C14586,"11beta-Hydroxy-6alpha-methylpregn-4-ene-3,20-dione",C14643,0.7
"11alpha-Hydroxyandrosta-1,4-diene-3,17-dione",C14587,"9alpha-Hydroxyandrosta-1,4-diene-3,17-dione",C14909,0.931818181818
"11alpha-Hydroxyandrosta-1,4-diene-3,17-dione",C14587,"14-Hydroxyandrosta-1,4-diene-3,17-dione",C15150,0.840909090909
7alpha-Methyltestosterone,C14588,1-Dehydro-7alpha-methyltestosterone,C15307,0.714285714286
7alpha-Methyltestosterone,C14588,4-Chloro-17alpha-methyltestosterone,C15358,0.714285714286
7alpha-Methyltestosterone,C14588,6alpha-Methyltestosterone,C15184,0.92
7alpha-Methyltestosterone,C14588,"2alpha,17-Dimethyltestosterone",C15339,0.8
17beta-Hydroxy-7alpha-methylandrost-4-en-3-one,C14588,17beta-Hydroxy-6beta-methylandrost-4-en-3-one,C14890,0.869565217391
17beta-Hydroxy-7alpha-methylandrost-4-en-3-one,C14588,"17beta-Hydroxy-6alpha,17-dimethylandrost-4-en-3-one",C15108,0.862745098039
